OTUID,D0,D1,D3,D5,D6,D7
OTU_1134,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
OTU_1135,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
OTU_1136,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE
OTU_1137,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
OTU_1138,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
OTU_1139,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
OTU_114,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
OTU_1140,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
OTU_1141,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
OTU_1142,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
OTU_1143,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
OTU_1144,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
OTU_1145,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
OTU_1146,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
OTU_1147,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
OTU_1148,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
OTU_1149,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
OTU_115,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
OTU_1150,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
OTU_1151,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
OTU_1152,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
OTU_1153,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
OTU_1154,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
OTU_1155,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
OTU_1156,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
OTU_1157,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
OTU_1158,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
OTU_1159,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
OTU_116,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
OTU_1160,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
OTU_1161,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
OTU_1162,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
OTU_1163,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
OTU_1164,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
OTU_1165,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
OTU_1166,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
OTU_1167,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
OTU_1168,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
OTU_1169,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
OTU_1170,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
OTU_1171,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
OTU_1172,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
OTU_1173,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
OTU_1174,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
OTU_1175,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
OTU_1176,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
OTU_1177,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
OTU_1178,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
OTU_1179,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
OTU_118,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
OTU_1180,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
OTU_1181,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
OTU_1182,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
OTU_1183,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
OTU_1184,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
OTU_1185,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
OTU_1186,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
OTU_1187,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE
OTU_1188,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
OTU_1189,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
OTU_119,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
OTU_1190,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
OTU_1191,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
OTU_1192,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
OTU_1193,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
OTU_1194,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
