OTUID,OTU_group,Treatment,n_replicates,occupancy,retained,mean_RA,median_RA_present,median_RA_D0,occupancy_D0,log10_shift_vs_D0
OTU_3175,Rare OTUs,D0,14,0.9285714285714286,TRUE,1.6695164291977762e-4,1.16709946605199e-4,1.16709946605199e-4,0.9285714285714286,0
OTU_3175,Rare OTUs,D1,14,0.5714285714285714,TRUE,2.52594780445053e-5,3.08674137106367e-5,1.16709946605199e-4,0.9285714285714286,-0.4692956292422603
OTU_3175,Rare OTUs,D3,20,0,FALSE,0,0,1.16709946605199e-4,0.9285714285714286,-0.9920290757170629
OTU_3175,Rare OTUs,D5,20,0,FALSE,0,0,1.16709946605199e-4,0.9285714285714286,-0.9920290757170629
OTU_3175,Rare OTUs,D6,40,0,FALSE,0,0,1.16709946605199e-4,0.9285714285714286,-0.9920290757170629
OTU_3175,Rare OTUs,D7,40,0,FALSE,0,0,1.16709946605199e-4,0.9285714285714286,-0.9920290757170629
OTU_3176,Rare OTUs,D0,14,0.7142857142857143,TRUE,2.1191413351725035e-5,2.966589744118595e-5,2.966589744118595e-5,0.7142857142857143,0
OTU_3176,Rare OTUs,D1,14,0.14285714285714285,TRUE,4.2443850072606e-6,2.97106950508242e-5,2.966589744118595e-5,0.7142857142857143,4.5325639251903027e-4
OTU_3176,Rare OTUs,D3,20,0,FALSE,0,0,2.966589744118595e-5,0.7142857142857143,-0.5107375244646937
OTU_3176,Rare OTUs,D5,20,0,FALSE,0,0,2.966589744118595e-5,0.7142857142857143,-0.5107375244646937
OTU_3176,Rare OTUs,D6,40,0,FALSE,0,0,2.966589744118595e-5,0.7142857142857143,-0.5107375244646937
OTU_3176,Rare OTUs,D7,40,0,FALSE,0,0,2.966589744118595e-5,0.7142857142857143,-0.5107375244646937
OTU_3177,Rare OTUs,D0,14,0.9285714285714286,TRUE,7.785162585714188e-5,5.83754122763492e-5,5.83754122763492e-5,0.9285714285714286,0
OTU_3177,Rare OTUs,D1,14,0.07142857142857142,TRUE,2.0633957716893857e-6,2.88875408036514e-5,5.83754122763492e-5,0.9285714285714286,-0.2304606962413409
OTU_3177,Rare OTUs,D3,20,0,FALSE,0,0,5.83754122763492e-5,0.9285714285714286,-0.7332464435592714
OTU_3177,Rare OTUs,D5,20,0,FALSE,0,0,5.83754122763492e-5,0.9285714285714286,-0.7332464435592714
OTU_3177,Rare OTUs,D6,40,0,FALSE,0,0,5.83754122763492e-5,0.9285714285714286,-0.7332464435592714
OTU_3177,Rare OTUs,D7,40,0,FALSE,0,0,5.83754122763492e-5,0.9285714285714286,-0.7332464435592714
OTU_3178,Rare OTUs,D0,14,0.35714285714285715,TRUE,1.6671214226133886e-5,5.83549733025997e-5,5.83549733025997e-5,0.35714285714285715,0
OTU_3178,Rare OTUs,D1,14,0.14285714285714285,TRUE,4.4307759844812995e-6,3.10154318913691e-5,5.83549733025997e-5,0.35714285714285715,-0.20893387605768066
OTU_3178,Rare OTUs,D3,20,0,FALSE,0,0,5.83549733025997e-5,0.35714285714285715,-0.7331224703349157
OTU_3178,Rare OTUs,D5,20,0,FALSE,0,0,5.83549733025997e-5,0.35714285714285715,-0.7331224703349157
OTU_3178,Rare OTUs,D6,40,0.05,TRUE,1.5131572337614624e-6,3.0263144675229246e-5,5.83549733025997e-5,0.35714285714285715,-0.21638061978551093
OTU_3178,Rare OTUs,D7,40,0,FALSE,0,0,5.83549733025997e-5,0.35714285714285715,-0.7331224703349157
OTU_3179,Rare OTUs,D0,14,1,TRUE,4.4656296610537e-4,3.9384840667733897e-4,3.9384840667733897e-4,1,0
OTU_3179,Rare OTUs,D1,14,0.2857142857142857,TRUE,8.432978384374085e-6,2.98587132315566e-5,3.9384840667733897e-4,1,-0.9752675341884149
OTU_3179,Rare OTUs,D3,20,0,FALSE,0,0,3.9384840667733897e-4,1,-1.4879525889058867
OTU_3179,Rare OTUs,D5,20,0.05,TRUE,1.55962444243426e-6,3.11924888486852e-5,3.9384840667733897e-4,1,-0.9620297503876927
OTU_3179,Rare OTUs,D6,40,0,FALSE,0,0,3.9384840667733897e-4,1,-1.4879525889058867
OTU_3179,Rare OTUs,D7,40,0,FALSE,0,0,3.9384840667733897e-4,1,-1.4879525889058867
OTU_318,Rare OTUs,D0,14,0.9285714285714286,TRUE,5.995364739893445e-5,5.83549733025997e-5,5.83549733025997e-5,0.9285714285714286,0
OTU_318,Rare OTUs,D1,14,0.14285714285714285,TRUE,4.167181505710422e-6,2.9170270539972952e-5,5.83549733025997e-5,0.9285714285714286,-0.2274314592462403
OTU_318,Rare OTUs,D3,20,0,FALSE,0,0,5.83549733025997e-5,0.9285714285714286,-0.7331224703349157
OTU_318,Rare OTUs,D5,20,0,FALSE,0,0,5.83549733025997e-5,0.9285714285714286,-0.7331224703349157
OTU_318,Rare OTUs,D6,40,0.025,TRUE,7.786221502429299e-7,3.11448860097172e-5,5.83549733025997e-5,0.9285714285714286,-0.20766521368109636
OTU_318,Rare OTUs,D7,40,0,FALSE,0,0,5.83549733025997e-5,0.9285714285714286,-0.7331224703349157
OTU_3180,Rare OTUs,D0,14,0.9285714285714286,TRUE,9.407515097110871e-5,8.75324599538996e-5,8.75324599538996e-5,0.9285714285714286,0
OTU_3180,Rare OTUs,D1,14,0.35714285714285715,TRUE,1.4543707717133228e-5,2.82861426187311e-5,8.75324599538996e-5,0.9285714285714286,-0.3850496851401952
OTU_3180,Rare OTUs,D3,20,0,FALSE,0,0,8.75324599538996e-5,0.9285714285714286,-0.8815902014338541
