Cutoff_label,dominance_cutoff,n_subsample,Treatment,retention_gap_Median,retention_gap_Q2.5,retention_gap_Q97.5,rare_transient_lost_Median,rare_transient_lost_Q2.5,rare_transient_lost_Q97.5,TL_gap_rare_minus_abundant_Median,TL_gap_rare_minus_abundant_Q2.5,TL_gap_rare_minus_abundant_Q97.5,abundant_shift_Median,abundant_shift_Q2.5,abundant_shift_Q97.5,rare_shift_Median,rare_shift_Q2.5,rare_shift_Q97.5,N_iterations
0.1%,0.001,8,D1,0.11614791886102199,0.10374187341610862,0.12824067706907116,0.3897673943319999,0.3736466061419764,0.40915423087171515,0.3890292266602778,0.3722013051927222,0.4090924537628208,-0.7366749794071903,-0.7910377156700692,-0.6586257538469272,-0.086338411601103,-0.11448122381986528,-0.020722028509078953,1000
0.1%,0.001,8,D3,0.29799359567388556,0.25117849717356766,0.3369301526036075,0.8967858100931207,0.8820854815849265,0.9120512079792005,0.2554589720171849,0.22444343069520817,0.28598294721544776,-1.3957831763651978,-1.4862790847769012,-1.3110766561819611,-0.011266810122198656,-0.015252114616633172,-0.006939129582129944,1000
0.1%,0.001,8,D5,0.17471469766859282,0.13282770528408303,0.2116030698684158,0.9405355950644148,0.933850190447877,0.9462184163252539,0.14615946368575872,0.12893983812475435,0.16737733826054751,-1.3676329757825585,-1.463812717200803,-1.1083933447629046,0.013907728011530951,-0.004838092260768423,0.06041885513887321,1000
0.1%,0.001,8,D6,0.1462520423817104,0.11354037894440175,0.1774168037867775,0.9513294276701216,0.9435914211032426,0.9585967904344391,0.14139023419984093,0.10969643077579821,0.17215481096682841,-1.0346490483205582,-1.3655614132911456,-0.7625991421839617,0.01635648900298925,-5.439225189484696e-4,0.12324652559217571,1000
0.1%,0.001,8,D7,0.13447281619466483,0.09369387503594463,0.18234943134069306,0.977482547833741,0.97065396451708,0.9828674481514879,0.10795056112701978,0.08673063429222193,0.1321877504079308,-0.8921638818568628,-1.4089974029092927,-0.43367338212748163,0.0094453684268625,-0.011398057085565405,0.15549548640545205,1000
0.1%,0.001,10,D0,0,0,0,0.10120913569189431,0.08856755535472209,0.12780699466997972,0.10120913569189431,0.08856755535472209,0.12780699466997972,NA,NA,NA,NA,NA,NA,1000
0.1%,0.001,10,D1,0.09005376344086025,0.08161160858624907,0.09914385448402198,0.3245240721709676,0.3140933132472156,0.3383020968205139,0.3245240721709676,0.3140681003584229,0.3383020968205139,-0.7289707004274323,-0.7743630146354801,-0.6676976996936479,-0.08659906171865273,-0.10824017463099275,-0.02573576465564766,1000
0.1%,0.001,10,D3,0.30400878288252,0.25798861270029394,0.3375311683475432,0.8829191609024112,0.868337083291199,0.8959464004363108,0.25892993461127506,0.230268526650418,0.29214161116969795,-1.4041412227881027,-1.4683625769620035,-1.34669410760992,-0.012187058399450557,-0.015089438360029994,-0.00824982088859292,1000
0.1%,0.001,10,D5,0.183316374097051,0.14269597603085632,0.21749319564226352,0.9324988824318283,0.9269385925593905,0.9386482459133186,0.1432046727455929,0.12452672229179715,0.16728389200807298,-1.400844476814688,-1.4872979205758015,-1.223146784985776,0.01033013428644991,-0.0027621477951502932,0.04003251277521436,1000
0.1%,0.001,10,D6,0.14286508735660175,0.1128532903456636,0.1753966177907395,0.9435483870967742,0.9351498791905769,0.9515488651589344,0.14952660500863385,0.12061576710231668,0.17633253146163616,-1.0554529421812133,-1.4122136680766657,-0.8038155563207078,0.014352964725174111,3.6550420115858415e-4,0.04611888111697379,1000
