Cutoff_label,dominance_cutoff,n_subsample,OTU_group,Treatment,Occupancy_class,prop_Mean,prop_Median,prop_Q2.5,prop_Q97.5,n_Median,N_iterations
0.01%,1e-4,10,Rare OTUs,D3,Intermediate (0.25-0.50],0.058367350056045035,0.058421379738968306,0.046716012803831725,0.07010034340521816,94,1000
0.01%,1e-4,10,Rare OTUs,D3,High (0.50-<1.00),0.036164742735853454,0.03602484472049689,0.028989236236844483,0.044297826315917395,58,1000
0.01%,1e-4,10,Rare OTUs,D3,Persistent (1.00),0.025911257188168686,0.026022304832713755,0.022513017265004112,0.029266167551233995,42,1000
0.01%,1e-4,10,Rare OTUs,D5,Lost (0),0.8633913604714131,0.8634639363130635,0.8527204924439812,0.8763907784320801,1389,1000
0.01%,1e-4,10,Rare OTUs,D5,Transient (0-0.25],0.06979772885375546,0.06989087139321036,0.060831363140166836,0.07811773751675458,112,1000
0.01%,1e-4,10,Rare OTUs,D5,Intermediate (0.25-0.50],0.03225945909342613,0.032318210068365445,0.02552847143485561,0.038461538461538464,52,1000
0.01%,1e-4,10,Rare OTUs,D5,High (0.50-<1.00),0.02525211706590162,0.02521761114764676,0.021698698078115312,0.02910216718266254,40,1000
0.01%,1e-4,10,Rare OTUs,D5,Persistent (1.00),0.00929933451550374,0.009299442033477991,0.006870491501139922,0.011838006230529595,15,1000
0.01%,1e-4,10,Rare OTUs,D6,Lost (0),0.8662563948099553,0.8659409437300604,0.8496131207242136,0.8829014409520413,1393,1000
0.01%,1e-4,10,Rare OTUs,D6,Transient (0-0.25],0.07638772610595203,0.07654013690105788,0.06195308499670502,0.09108060908734747,123,1000
0.01%,1e-4,10,Rare OTUs,D6,Intermediate (0.25-0.50],0.033651123300490415,0.03363438507466161,0.02664064781032386,0.04070608692413517,54,1000
0.01%,1e-4,10,Rare OTUs,D6,High (0.50-<1.00),0.02027803117908182,0.020465118246751346,0.014329549681499047,0.025466630357529125,33,1000
0.01%,1e-4,10,Rare OTUs,D6,Persistent (1.00),0.0034267246045204145,0.0031201251087419578,0.0012414649286157666,0.006177034709726028,5,1000
0.01%,1e-4,10,Rare OTUs,D7,Lost (0),0.8916736337716151,0.8924265739557988,0.8626216358090917,0.9164614730170865,1435,1000
0.01%,1e-4,10,Rare OTUs,D7,Transient (0-0.25],0.08282398566267103,0.08216620777250215,0.05863913594056033,0.1111856528407369,132,1000
0.01%,1e-4,10,Rare OTUs,D7,Intermediate (0.25-0.50],0.015371356410465279,0.015479876160990712,0.009305210918114143,0.021766507769181473,25,1000
0.01%,1e-4,10,Rare OTUs,D7,High (0.50-<1.00),0.009409502847536567,0.009316770186335404,0.005557219839116779,0.013613861386138614,15,1000
0.01%,1e-4,10,Rare OTUs,D7,Persistent (1.00),7.215213077120503e-4,6.215040397762585e-4,0,0.0018821464369449545,1,1000
0.01%,1e-4,12,Abundant OTUs,D0,Lost (0),0,0,0,0,0,1000
0.01%,1e-4,12,Abundant OTUs,D0,Transient (0-0.25],0,0,0,0,0,1000
0.01%,1e-4,12,Abundant OTUs,D0,Intermediate (0.25-0.50],0,0,0,0,0,1000
0.01%,1e-4,12,Abundant OTUs,D0,High (0.50-<1.00),0.046967261672397266,0.04676753782668501,0.041379310344827586,0.0533515731874145,34,1000
0.01%,1e-4,12,Abundant OTUs,D0,Persistent (1.00),0.9530327383276027,0.953232462173315,0.9466484268125855,0.9586206896551724,695,1000
0.01%,1e-4,12,Abundant OTUs,D1,Lost (0),0.013057602460015916,0.012413793103448275,0.009575923392612859,0.019204389574759947,9,1000
