Cutoff_label,dominance_cutoff,n_subsample,OTU_group,Treatment,n_retained_Median,median_log10_shift_Mean,median_log10_shift_Median,median_log10_shift_Q2.5,median_log10_shift_Q97.5,prop_decrease_Median,prop_increase_Median,N_iterations
0.1%,0.001,14,Abundant OTUs,D7,29,-1.0896179277179285,-1.0759009100456431,-1.4690298454726773,-0.6951761343246023,0.7777777777777778,0.2222222222222222,1000
0.1%,0.001,14,Rare OTUs,D0,0,NA,NA,NA,NA,NA,NA,1000
0.1%,0.001,14,Rare OTUs,D1,2102,-0.09241202930864834,-0.09241202930864834,-0.09241202930864834,-0.09241202930864834,0.6931493815413892,0.30685061845861084,1000
0.1%,0.001,14,Rare OTUs,D3,572,-0.01270109181463925,-0.012677050540133239,-0.014447090958278374,-0.010340075832014939,0.6918918918918919,0.30579964850615116,1000
0.1%,0.001,14,Rare OTUs,D5,320,0.007265032844401641,0.0059691518452598125,-5.758108421209939e-4,0.01610454802239627,0.44086163605127526,0.5591383639487246,1000
0.1%,0.001,14,Rare OTUs,D6,315,0.01120595394412897,0.01118369327443236,-2.135065031465544e-4,0.024657931050770188,0.42225278858346404,0.5777472114165358,1000
0.1%,0.001,14,Rare OTUs,D7,290,0.00794170539577888,-7.570569506065716e-6,-0.010522953598079532,0.08749446632053968,0.5,0.5,1000
1%,0.01,8,Abundant OTUs,D0,0,NA,NA,NA,NA,NA,NA,1000
1%,0.01,8,Abundant OTUs,D1,13,-0.5036922174930193,-0.5025523858671967,-0.5802765972693535,-0.4123953894996284,0.8461538461538461,0.15384615384615385,1000
1%,0.01,8,Abundant OTUs,D3,11,-2.138686857363705,-2.128212713927956,-2.43194888802394,-1.8464108976879876,0.9090909090909091,0.09090909090909091,1000
1%,0.01,8,Abundant OTUs,D5,8,-1.9916251072756959,-2.04525041110775,-2.519291520700812,-1.4357118570134482,0.875,0.125,1000
1%,0.01,8,Abundant OTUs,D6,7,-1.5367967013973942,-1.5744507637231429,-2.1235812674231354,-0.8549738928963978,0.8571428571428571,0.14285714285714285,1000
1%,0.01,8,Abundant OTUs,D7,5,-1.3695972314280969,-1.394322537787644,-2.2437115677974986,-0.4858494884408033,0.8,0.2,1000
1%,0.01,8,Rare OTUs,D0,0,NA,NA,NA,NA,NA,NA,1000
1%,0.01,8,Rare OTUs,D1,2051,-0.11174609952413221,-0.11126272479273513,-0.13311173391261077,-0.08413140020570126,0.6788677665163234,0.3211322334836766,1000
1%,0.01,8,Rare OTUs,D3,514,-0.013432761855294456,-0.013580978165073532,-0.017538600844990704,-0.009110360453065281,0.6698948481598428,0.32966988727858293,1000
1%,0.01,8,Rare OTUs,D5,286,0.0104690559623464,0.00800978399703478,-0.006549568108092707,0.039398277757766456,0.4392000527148129,0.5607999472851871,1000
1%,0.01,8,Rare OTUs,D6,272,0.01745601851369992,0.013913010799049275,-0.004923508262047126,0.06838708631658161,0.4166666666666667,0.5833333333333334,1000
1%,0.01,8,Rare OTUs,D7,225.5,0.015361542276544998,8.482399004119401e-4,-0.014145202956871866,0.12118285864056248,0.49598387096774194,0.504016129032258,1000
1%,0.01,10,Abundant OTUs,D0,0,NA,NA,NA,NA,NA,NA,1000
1%,0.01,10,Abundant OTUs,D1,13,-0.5007370341674054,-0.4937402661357424,-0.5778150834904461,-0.4129829269591043,0.8461538461538461,0.15384615384615385,1000
1%,0.01,10,Abundant OTUs,D3,11,-2.190893927612004,-2.182290210898204,-2.4568571942130117,-1.9525909653728841,0.9090909090909091,0.09090909090909091,1000
1%,0.01,10,Abundant OTUs,D5,9,-2.03830150390669,-2.085317788566619,-2.5314813762952024,-1.4435598405367778,0.8888888888888888,0.1111111111111111,1000
1%,0.01,10,Abundant OTUs,D6,7,-1.5732679661063094,-1.6103353458686696,-2.0764200324176514,-1.0334988561164804,0.8571428571428571,0.14285714285714285,1000
1%,0.01,10,Abundant OTUs,D7,6,-1.4921560447674458,-1.5278926968545277,-2.2448404950626064,-0.6543406751326089,0.8333333333333334,0.16666666666666666,1000
1%,0.01,10,Rare OTUs,D0,0,NA,NA,NA,NA,NA,NA,1000
1%,0.01,10,Rare OTUs,D1,2122,-0.11166827537667941,-0.11024469361226918,-0.1288716396726092,-0.09290791911143868,0.6854249413977171,0.31457505860228285,1000
1%,0.01,10,Rare OTUs,D3,558,-0.013892460634633863,-0.014120880354640875,-0.016653662480340503,-0.010351059053606537,0.6841688983406847,0.3150813224366104,1000
1%,0.01,10,Rare OTUs,D5,311,0.007053571472866162,0.005914167484903032,-0.005615929556627785,0.02512850270836022,0.45046484183864377,0.5495351581613563,1000
1%,0.01,10,Rare OTUs,D6,300,0.012278531223389124,0.011549581363492045,-0.00420735755774968,0.032733021068355406,0.4300341296928328,0.5699658703071673,1000
