Cutoff_label,dominance_cutoff,n_subsample,Metric,Mean,SD,Median,Q2.5,Q97.5,N_iterations
0.01%,1e-4,12,"Mean abundant decrease proportion, D1-D7",0.7834282801665889,0.010193546169595813,0.7836547593889072,0.7627913709166748,0.802703345385895,1000
0.01%,1e-4,12,"Mean abundant median log10 shift vs D0, D1-D7",-0.5878202168675999,0.01758283827088094,-0.5879717057823293,-0.6240267454456155,-0.5540086312377561,1000
0.01%,1e-4,12,"Mean rare decrease proportion, D1-D7",0.46649040634382016,0.01813016702198674,0.4667953624932733,0.430629211660333,0.5037216220578363,1000
0.01%,1e-4,12,"Mean rare median log10 shift vs D0, D1-D7",0.025448330546298355,0.011589099603873543,0.026996069167764824,0.0036010952842924437,0.04835646374520901,1000
0.01%,1e-4,12,"Mean rare transient/lost proportion, D1-D7",0.8392377222685428,0.002060458255162924,0.8392603988603988,0.8353592534447933,0.8433618458930978,1000
0.01%,1e-4,12,"Mean rare transient/lost proportion, D3-D7",0.9400276539064947,0.00213850817605619,0.9399783185514581,0.9359170363648005,0.9440684323014136,1000
0.01%,1e-4,12,"Mean rare-minus-abundant transient/lost gap, D1-D7",0.07568266583322561,0.002438264315246758,0.07578820403786685,0.07074070137389374,0.08041999306609696,1000
0.01%,1e-4,12,"Mean rare-minus-abundant transient/lost gap, D3-D7",0.026815883530600763,0.0024469777014591776,0.02690761272982331,0.022140540626248758,0.03153924968696115,1000
0.01%,1e-4,12,"Mean retention gap: abundant minus rare, D1-D7",0.017442865435514966,0.004080289971033568,0.017471431547870765,0.009849483073548663,0.02544227681085133,1000
0.01%,1e-4,12,"Mean retention gap: abundant minus rare, D3-D7",0.0013525165234740757,0.00493269798606505,0.0012635191603206104,-0.007890249347044718,0.01126942639236368,1000
0.01%,1e-4,12,Rare transient/lost > abundant transient/lost in all diluted treatments,1,0,1,1,1,1000
0.01%,1e-4,12,Rare transient/lost > abundant transient/lost in all stronger dilution treatments,1,0,1,1,1,1000
0.01%,1e-4,12,Retention gap > 0 in all diluted treatments,0.028,0.16505527329729044,0,0,1,1000
0.01%,1e-4,12,Retention gap > 0 in all stronger dilution treatments,0.028,0.16505527329729044,0,0,1,1000
0.01%,1e-4,12,Spearman rho: abundant retained proportion vs dilution rank,-0.916256573093954,0.07519931752045136,-0.9428571428571428,-1,-0.7714285714285715,1000
0.01%,1e-4,12,Spearman rho: rare retained proportion vs dilution rank,-0.9639754199584466,0.04426429074014235,-0.9428571428571428,-1,-0.8285714285714285,1000
