OTUID	D001	D002	D003	D004	D005	D006	D007	D008	D009	D010	D011	D012	D013	D014	D101	D102	D103	D104	D105	D106	D107	D108	D109	D110	D111	D112	D113	D114	D301	D302	D303	D304	D305	D306	D307	D308	D309	D310	D311	D312	D313	D314	D315	D316	D317	D318	D319	D320	D501	D502	D503	D504	D505	D506	D507	D508	D509	D510	D511	D512	D513	D514	D515	D516	D517	D518	D519	D520	D601	D602	D603	D604	D605	D606	D607	D608	D609	D610	D611	D612	D613	D614	D615	D616	D617	D618	D619	D620	D621	D622	D623	D624	D625	D626	D627	D628	D629	D630	D631	D632	D633	D634	D635	D636	D637	D638	D639	D640	D701	D702	D703	D704	D705	D706	D707	D708	D709	D710	D711	D712	D713	D714	D715	D716	D717	D718	D719	D720	D721	D722	D723	D724	D725	D726	D727	D728	D729	D730	D731	D732	D733	D734	D735	D736	D737	D738	D739	D740
OTU_1008	0.000301613632936209	0.000204313942967222	9.17824144893838e-05	0.000241538600887654	0.000241152709953578	0.000331734973913568	0.000150879628232596	0.000262536098713573	0.000320952353164298	0.000321017918636549	0.000262161374890766	9.17711838482716e-05	9.18105031215571e-05	0.000153045607591062	3.19764653215234e-05	6.01087969224296e-05	8.74890638670166e-05	8.66626224109542e-05	5.93260560037969e-05	2.82861426187311e-05	5.93330960009493e-05	0.000118091639111951	9.02798675895275e-05	5.42637762161869e-05	0.000113003926886459	8.71358447820152e-05	2.88433804441881e-05	2.975836209975e-05	0.000463311519082643	0.000494674969446546	0.000142389292325217	0.000150952510340247	0.000238620771938197	5.9828292799665e-05	0.000285526653913143	0.000322959483264827	5.83839327417095e-05	0.000148407586595827	2.92980194538849e-05	0.000401330122692352	8.61796558559076e-05	0.000437560164522622	5.73000229200092e-05	0.000233093441333294	0.000260085539244018	0	5.76435323956652e-05	2.79571696161481e-05	0.000172840928731924	0.000123050419909558	0	6.14156302779057e-05	0	0.000323834196891192	0	0	0.000552893475856985	0.000148774101404428	0.000190174326465927	0	0	0	0.00162200942013163	0.000150204277817832	8.95228432455015e-05	0	0.000172398931126627	0.000318167356029271	6.24336642317538e-05	0	0.000459615148915308	0	0.000170203109043459	0	0	0.000265400607472502	8.74916153868588e-05	0	0	0.000768237969393399	0.00015921031682853	0.00012559264027128	0.0003813435024934	0.000989926046701217	8.80721016939201e-05	3.07012157681444e-05	0	0.000256147540983607	0	0	0	0	9.99500249875062e-05	0	0.000291596197585584	0.00585698654823969	0.000156690692572861	0	0.00074634460766021	0	0	3.35919916691861e-05	0.000779750479846449	3.09185913489781e-05	0.000467173290145758	0.00229259206189999	0.00318432704555104	0	0	0	0	0	0	0	0	0	0	0	0.000118722545411374	0	0	0	0.00149244821204704	0	0	0.00107454667562122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1009	0.000241290906348967	0.000321064767519921	0.000244753105305024	0.000211346275776698	0.000211008621209381	0.000241261799209868	0.000211231479525634	0.000233365421078732	0.000204242406559099	0.000291834471487772	0.000291290416545296	0.000214132762312634	0.000244828008324152	0.00012243648607285	0	3.00543984612148e-05	2.91630212890055e-05	5.77750816073028e-05	0	0	8.8999644001424e-05	0	3.00932891965092e-05	0	5.65019634432297e-05	0	0	0	2.89569699426652e-05	2.90985276145027e-05	0	3.01905020680494e-05	0	2.99141463998325e-05	0	5.87199060481503e-05	5.83839327417095e-05	2.96815173191654e-05	0	0	2.87265519519692e-05	0	2.86500114600046e-05	0	0	0	0	0	0	3.07626049773895e-05	0	3.07078151389529e-05	0	0	0	2.91919663708547e-05	0	0	3.16957210776545e-05	0	0	3.0638193572107e-05	6.23849776973705e-05	0	0	0	0	3.18167356029271e-05	3.12168321158769e-05	6.44309139525144e-05	3.06410099276872e-05	2.85591889190347e-05	0	0	5.99736116108912e-05	0	0	2.8049704075622e-05	5.60773867937754e-05	0	0	0	0	0	8.80721016939201e-05	3.07012157681444e-05	0	0	0	9.35045505547937e-05	0	0	0	8.86001181334908e-05	2.91596197585583e-05	0	0	3.04905936518584e-05	0	0	0	0	2.99904030710173e-05	9.27557740469344e-05	0	0	6.06538484866865e-05	0	0	0	0	0	0.000284600278908273	0	0	0	0	0	0	0	0	0	0	0	0	5.37273337810611e-05	0	0	0.00201107548819586	0	0	0	0	0.000639795265515035	0	0	0	0	0	0	0	0	0	0	8.59672751239362e-05	0	0	0
OTU_101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.19764653215234e-05	3.00543984612148e-05	0	5.77750816073028e-05	0	0	2.96665480004747e-05	2.95229097779877e-05	6.01865783930184e-05	0	0	2.90452815940051e-05	0	2.975836209975e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1010	0.0128185793997889	0.0152943580164035	0.0151440983907483	0.0121071223694937	0.0124796527400977	0.0121837208600983	0.0124023054407194	0.0157229952451795	0.0149096956788142	0.0154672269888519	0.0162540052432275	0.0144386662587947	0.0154853715265026	0.015702479338843	0.00856969270616826	0.00574039010609203	0.00644502770487022	0.00595083340555219	0.00536900806834362	0.00874041806918791	0.00557731102408924	0.0086502125649504	0.00469455311465543	0.00295737580378219	0.0095205808401842	0.00435679223910076	0.00334583213152581	0.00613022259254851	0.000144784849713326	5.81970552290054e-05	0	6.03810041360988e-05	0	0.00011965658559933	0.000142763326956571	8.80798590722255e-05	0.000145959831854274	2.96815173191654e-05	0	0.000200665061346176	2.87265519519692e-05	2.91706776348415e-05	2.86500114600046e-05	5.82733603333236e-05	5.77967864986707e-05	2.94689691754582e-05	2.88217661978326e-05	0.000111828678464592	0	0	2.96815173191654e-05	0	0	0	0	0	0	0	0	0	0	0	3.11924888486852e-05	0	0	0	2.87331551877712e-05	0	0	0	0	0	5.67343696811528e-05	0	0	2.94889563858335e-05	0	0	2.80386933968877e-05	6.14590375514719e-05	0	0	0.000293341155764154	5.8230943923601e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000135699019574584	0	3.14248004525171e-05	3.35919916691861e-05	0.000419865642994242	0	0.00021801420206802	0	6.06538484866865e-05	0	0	0	0	0	0.000227680223126619	2.71820381092174e-05	0	0	0	0	0	0	0	5.66235384049149e-05	0	0	0	0	2.81555311540952e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.24327830571141e-05	0	0	0	0	0
OTU_1011	0.00141758407480018	0.00131344677621786	0.00125435966468825	0.00141903928021497	0.00120576354976789	0.00144757079525921	0.00138809257973988	0.00122516846066334	0.00122545443935459	0.00122570478024864	0.000990387416254005	0.00110125420617926	0.00116293303953972	0.00116314661769207	0.00105522335561027	0.000781414359991585	0.00116652085156022	0.000895513764913193	0.00094921689606075	0.00155573784403021	0.00100866263201614	0.00138757675956542	0.00114354498946735	0.00103101174810755	0.00175156086674012	0.000784222603038136	0.000807614652437266	0.001428401380788	0.00127410667747727	0.00064016760751906	0.000170867150790261	0.000452857531020741	8.9482789476824e-05	0.00035896975679799	0.000314079319304457	0.000645918966529654	0.000758991125642223	0.000296815173191654	8.78940583616548e-05	0.000515995872033024	0.000287265519519692	0.000262536098713573	5.73000229200092e-05	0.000116546720666647	0.000462374291989365	8.84069075263747e-05	0.000403504726769656	0.000447314713858369	0.000144034107276603	0.000276863444796505	0.000178089103914992	0.000276370336250576	0.00035929578027067	8.83184173339614e-05	0	0	0.000331736085514191	0.000297548202808855	3.16957210776545e-05	2.64704325268675e-05	5.73394495412844e-05	3.0638193572107e-05	6.23849776973705e-05	0.000330449411199231	0	2.8996433438687e-05	5.74663103755423e-05	0.000127266942411709	0.000624336642317538	6.44309139525144e-05	0.000122564039710749	0.000713979722975867	0.00374446839895609	0	0.00164927431929951	0.000265400607472502	0.00128321035900726	0	0.000869199495303519	0.0030729518775736	0.000509473013851298	0.00012559264027128	0.00105602816075095	0.00230012228498224	0.000117429468925227	3.07012157681444e-05	0	0.000597677595628415	8.66601190132301e-05	0.000623363670365291	0	0	0.000766283524904215	0	5.83192395171167e-05	0.000997618587886979	0.000752115324349734	9.14717809555752e-05	0.0437290090579096	0	0.00622211048959839	0.000302327925022675	0.00215930902111324	3.09185913489781e-05	0.00112121589634982	0.00108898122940249	0.00327530781828107	0	0	0	0.00335003319852719	0	0.00105302103196061	8.15461143276523e-05	0	0	0.00213931952055798	0	2.96806363528434e-05	0	0.00123067213632061	0.000396364768834404	0	0	0	5.37273337810611e-05	0.0201875158374863	0.000781884341262443	5.82920431361119e-05	0.000976996180833111	0	2.82143159439099e-05	0.000447377250866793	0.000472892152771983	0.00190289632013432	8.73057447180024e-05	0	0	0	0.000349517956485014	0	0	0.00580546816722343	0	0	0	0	0.000470617764251875
OTU_1012	0.0110390589654652	0.0134847202358367	0.0126965673376981	0.0109598140152773	0.0117863386989811	0.0112789891130613	0.0117082591508495	0.013068463580409	0.0135675312928544	0.0133952022412887	0.0136032624526653	0.0124502906087489	0.0126086424286938	0.0131619222528313	0.00239823489911425	0.00201364469690139	0.00186643336249635	0.0020799029378629	0.00177978168011391	0.00223460526687976	0.0022249911000356	0.00206660368445914	0.000902798675895275	0.00138372629351277	0.00211882362912111	0.00151035464288826	0.00100951831554658	0.00241042733007975	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1013	3.01613632936209e-05	0.000175126236829048	3.05941381631279e-05	3.01923251109568e-05	6.02881774883945e-05	3.01577249012335e-05	3.01759256465192e-05	0.000116682710539366	0.000116709946605199	8.75503414463316e-05	8.73871249635887e-05	3.05903946160905e-05	3.0603501040519e-05	3.06091215182124e-05	9.59293959645701e-05	0.000120217593844859	0.000145815106445028	0.000144437704018257	8.89890840056953e-05	0.00025457528356858	0.000177999288002848	0.000236183278223902	0	0.000135659440540467	0.000169505890329689	0.00011618112637602	0	0.00020830853469825	0.000434354549139978	0.000349182331374032	0.000170867150790261	0.000452857531020741	0.000149137982461373	0.000329055610398157	0.000228421323130514	0.000293599530240752	0.000175151798225128	0.000118726069276661	8.78940583616548e-05	0.00014333218667584	0.000172359311711815	0.000437560164522622	0.00031515012606005	0.000262230121499956	0.000288983932493353	0.000206282784228208	0.000144108830989163	0.000111828678464592	0.000316875036008527	3.07626049773895e-05	0.000326496690510819	0.000460617227084293	0.000119765260090223	0.000529910504003768	0.000206684776189914	0.000262727697337693	0.000110578695171397	0	0	0.00052940865053735	2.86697247706422e-05	0.000153190967860535	9.35774665460557e-05	0	0.000358091372982006	0.000347957201264245	0.000172398931126627	0.000540884505249761	0.0187925329337579	0.00170741921974163	0	0	0	0	0	8.84668691575005e-05	0.00236227361544519	0.000224397632604976	0	0	0	0	0.000146670577882077	0	0.000616504711857441	0	8.88230940044412e-05	0	0	0.00981797780825333	0	0.0155146915199375	0.000199900049975012	0.0022740696987596	0	0	0.000125352554058289	0	0	0.000503176300396251	0	0.000873391783398838	0	0.00139133661070402	0	8.59722023212495e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00195727547254222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1014	0.00105564771527673	0.00128425907007968	0.000734259315915071	0.000724615802662963	0.000934466751070115	0.000844416297234537	0.000935453695042095	0.00116682710539366	0.00119627695270329	0.00134243856884375	0.00131080687445383	0.000917711838482716	0.000856898029134533	0.00088766452402816	0.00159882326607617	0.00144261112613831	0.00227471566054243	0.0010110639281278	0.00106786900806834	0.00231946369473595	0.00139432775602231	0.00174185167690128	0.00147457117062895	0.00070542909081043	0.00169505890329689	0.00107467541897819	0.000576867608883761	0.00193429353648375	0.00173741819655991	0.000232788220916022	0.000170867150790261	0.00105666757238173	5.96551929845493e-05	0.000777767806395645	0.000913685292522057	0.00164415736934821	0.00242293320878094	0.000652993381021638	0.000761748505801008	0.000515995872033024	0.000574531039039384	0.000612584230331671	0.000343800137520055	0.000145683400833309	0.000664663044734713	0.000117875876701833	0.00103758358312197	0.000950543766949034	2.88068214553206e-05	0.000215338234841726	0.000652993381021638	0.000122831260555811	0.000319374026907262	0.00023551577955723	5.90527931971182e-05	0.000145959831854274	0.00047917434574272	0.000208283741966199	3.16957210776545e-05	0.000158822595161205	0.000200688073394495	0.000275743742148963	0.00639446021398047	6.00817111271329e-05	0.000179045686491003	2.8996433438687e-05	0	0	0	0	9.19230297830616e-05	0	5.67343696811528e-05	0.00011509466536226	0	0	0	2.8049704075622e-05	8.41160801906631e-05	0.00030729518775736	6.36841267314122e-05	0	0	0	5.87147344626134e-05	3.07012157681444e-05	0.000355292376017765	0	0.00034664047605292	6.23363670365291e-05	8.7463556851312e-05	2.79041214387365e-05	0	0.000236266981689309	5.83192395171167e-05	6.43624895410955e-05	0.000125352554058289	0.00018294356191115	0.000135699019574584	3.14485187747657e-05	0.000157124002262586	0	0	6.18371826979563e-05	6.22897720194344e-05	0	0	0	0	2.80788453978772e-05	0	0	0	0	5.77133952790443e-05	0	5.86114937139173e-05	0	0.000415528908939808	0	0	0	0	0	0	0	0.000112622124616381	0	0	2.96059448737306e-05	0	0	0	0	2.798376941374e-05	0	2.74868750171793e-05	0	0	0.000291264963737512	0	0	0	0	0.000143278791873227	0	0	0
OTU_1015	0.00395113859146433	0.00280201978926476	0.00235574863856085	0.00383442528909151	0.00419002833544342	0.00410145058656775	0.00383234255710794	0.00282955573057962	0.00256761882531439	0.00303507850347283	0.00262161374890766	0.0026001835423677	0.00250948708532256	0.00241812059993878	0.00511623445144374	0.00399723499534157	0.00341207349081365	0.003148741947598	0.00317394399620313	0.00466721353209063	0.00397531743206361	0.00265706188001889	0.00246764971411375	0.00187210027945845	0.00389863547758285	0.00371779604403265	0.00239400057686761	0.00377931198666825	0.000839752128337291	5.81970552290054e-05	0	0.000181143012408296	0	2.99141463998325e-05	8.56579961739428e-05	0.000381679389312977	0.00055464736104624	2.96815173191654e-05	8.78940583616548e-05	0.000229331498681344	5.74531039039384e-05	8.75120329045244e-05	0.000143250057300023	0.000174820080999971	8.6695179748006e-05	8.84069075263747e-05	0.000144108830989163	0.00013978584808074	2.88068214553206e-05	0	0	3.07078151389529e-05	3.99217533634077e-05	2.94394724446538e-05	2.95263965985591e-05	2.91919663708547e-05	3.68595650571323e-05	2.97548202808855e-05	0	2.64704325268675e-05	0	0	0.000124769955394741	0	2.98409477485005e-05	2.8996433438687e-05	0	0	3.12168321158769e-05	0	3.06410099276872e-05	2.85591889190347e-05	0	2.87736663405651e-05	0	0	0	5.6099408151244e-05	0	0	0	3.139816006782e-05	5.86682311528307e-05	0.000116461887847202	0	0	0	2.84608378870674e-05	0	3.11681835182646e-05	2.91545189504373e-05	0	0	2.95333727111636e-05	0	0	0	0	0	0	0	3.35919916691861e-05	0	0	3.11448860097172e-05	2.86574007737498e-05	3.03269242433432e-05	0	0	2.80788453978772e-05	0	0	0	0	0	0	8.79172405708759e-05	0	0	0	0	0	0	0	0	5.37273337810611e-05	0	0	0	0	0	0	2.79610781791746e-05	0	2.798376941374e-05	0	0	0	0	0	0	0	0	0	0.000143278791873227	0	0	0
OTU_1016	0.000180968179761725	0.000116750824552698	3.05941381631279e-05	0.000150961625554784	9.04322662325918e-05	0.000180946349407401	0.000150879628232596	0.000116682710539366	8.75324599538996e-05	8.75503414463316e-05	8.73871249635887e-05	0	3.0603501040519e-05	0	0.000991270424967224	0.00459832296456586	0.0026538349372995	0.00268654129473958	0.00269933554817276	0.00237603597997341	0.00272932241604367	0.00348370335380255	0.00355100812518808	0.00241473804162032	0.00468966296578806	0.00354352435446862	0.00377848283818864	0.00223187715748125	0.000521225458967974	2.90985276145027e-05	2.84778584650434e-05	3.01905020680494e-05	0.000119310385969099	0.00011965658559933	0.000228421323130514	2.93599530240752e-05	0	5.93630346383307e-05	8.78940583616548e-05	0.000315330810686848	2.87265519519692e-05	0.000145853388174207	2.86500114600046e-05	5.82733603333236e-05	5.77967864986707e-05	0	8.64652985934978e-05	8.38715088484442e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
