id	node.degree	node.betw	node.stress	node.evcent	Clustering.Coefficient	No..module	Zi	Pi
OTU_1029	3	4	6	1.39173709106801e-76	0.333333333333333	5	0.707106781186548	0
OTU_1037	1	0	0	0.0176166661721382	0	4	-1.02105494048526	0
OTU_1039	3	2	4	1.6284527631949e-76	0.666666666666667	5	0.707106781186548	0
OTU_1051	3	2	4	1.6284527631949e-76	0.666666666666667	5	0.707106781186548	0
OTU_1053	1	0	0	2.52157947708515e-194	0	14	0	0
OTU_1054	5	166.039963691279	389	0.06014005183833	0	2	1.15864824404332	0.32
OTU_1064	1	0	0	5.13693481255172e-77	0	5	-1.4142135623731	0
OTU_1095	3	85.3599789099789	178	0.0885065945594434	0	2	-0.413802944301184	0.444444444444444
OTU_1096	1	0	0	5.13693481255172e-77	0	5	-1.4142135623731	0
OTU_1101	2	11.7138888888889	30	0.0336362730757763	0	2	-0.413802944301184	0
OTU_1122	6	234.644943944944	655	0.111116184756412	0	2	1.94487383821556	0.277777777777778
OTU_1126	3	49.5249195249195	216	0.0881630621136083	0	3	0.31429363309631	0
OTU_1143	2	6.67857142857143	17	0.0670758633988886	0	3	-0.873037869711973	0.5
OTU_1158	4	91.7991924741925	280	0.0832576747738724	0	2	1.15864824404332	0
OTU_1200	1	0	0	0.0400319836638327	0	0	-0.726252277807689	0
OTU_1201	1	0	0	0.00623178463649371	0	4	-1.02105494048526	0
OTU_1234	3	39.5955421771211	256	0.141856078629846	0	1	-0.982272588312941	0.444444444444444
OTU_1238	5	124.246276822593	383	0.102474710922902	0	1	0.221803487683567	0.56
OTU_128	3	96.85	305	0.0318548556785272	0	4	-0.145864991497894	0.444444444444444
OTU_132	1	0	0	2.52157947708515e-194	0	15	0	0
OTU_1372	3	331.450715950716	838	0.117663192353173	0	0	0.351412392487591	0
OTU_1373	3	53.5611277611278	215	0.0872758526959412	0	2	-0.413802944301184	0.444444444444444
OTU_142	1	0	0	0.0117652346271477	0	2	-1.20002853847343	0
OTU_146	2	0	0	1.91351328492506e-112	1	7	0	0
OTU_1484	5	311.311851744746	1113	0.202949474699356	0	2	-0.413802944301184	0.72
OTU_1488	2	11.2259462759463	60	0.0632230914877987	0	4	-0.145864991497894	0
OTU_157	1	0	0	2.52157947708515e-194	0	11	0	0
