Bin	BinRA	TaxonID	Taxon.Phylum	Taxon.Class	Taxon.Order	Taxon.Family	Taxon.Genus
Bin91	0.00083095	OTU_398	Firmicutes	Bacilli	Erysipelotrichales	Erysipelotrichaceae	Turicibacter
Bin92	0.001904017	OTU_796	Firmicutes	Bacilli	Izemoplasmatales	Izemoplasmataceae	bacterium
Bin93	0.049606952	OTU_141	Firmicutes	Bacilli	Exiguobacterales	Exiguobacteraceae	Exiguobacterium
Bin94	0.020160737	OTU_156	Firmicutes	Bacilli	Lactobacillales	Carnobacteriaceae	Trichococcus
Bin95	0.000500464	OTU_137	Firmicutes	Clostridia	Peptococcales	Peptococcaceae	uncultured
Bin96	0.001145452	OTU_2101	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	Colidextribacter
Bin97	0.000120157	OTU_2919	Firmicutes	Clostridia	Oscillospirales	Ethanoligenenaceae	Acetanaerobacterium
Bin98	5.22E-05	OTU_989	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidetes__vadinHA17	uncultured__bacterium
Bin99	0.000290446	OTU_2018	Bacteroidota	Bacteroidia	Bacteroidales	Prolixibacteraceae	Sunxiuqinia
Bin100	0.290697961	OTU_2014	Fusobacteriota	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium
Bin101	0.017294669	OTU_2020	Fusobacteriota	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Propionigenium
Bin102	0.026314474	OTU_2888	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Dethiosulfatibacteraceae	Dethiosulfatibacter
Bin103	0.000438589	OTU_3283	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Dethiosulfatibacteraceae	Dethiosulfatibacter
Bin104	0.004015521	OTU_2595	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Dethiosulfatibacteraceae	Dethiosulfatibacter
Bin105	0.001597909	OTU_8	Fermentibacterota	Fermentibacteria	Fermentibacterales	Fermentibacteraceae	uncultured__bacterium
Bin106	0.00448933	OTU_3051	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	JTB215	bacterium__enrichment__culture__clone__AOM-SR-B4
Bin107	0.026572371	OTU_2926	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	uncultured	marine__sediment__metagenome
Bin108	0.000492694	OTU_3302	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	JTB215	bacterium__enrichment__culture__clone__AOM-SR-B4
Bin109	0.005441124	OTU_2042	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	livecontrolB21	uncultured__bacterium
Bin110	0.000641688	OTU_130	Actinobacteriota	Thermoleophilia	Gaiellales	uncultured	uncultured__bacterium
Bin111	0.005855396	OTU_3093	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Peptostreptococcaceae	Romboutsia
Bin112	0.010361831	OTU_3464	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Peptostreptococcaceae	Peptoclostridium
Bin113	0.003746679	OTU_2453	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Fusibacteraceae	Fusibacter
Bin114	0.001906843	OTU_3252	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Anaerovoracaceae	uncultured__bacterium
Bin115	0.002106519	OTU_3107	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Anaerovoracaceae	S5-A14a
Bin116	0.001353946	OTU_2645	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Fusibacteraceae	Fusibacter
Bin117	0.000943202	OTU_2504	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Fusibacteraceae	Fusibacter
Bin118	0.002055037	OTU_2339	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Guggenheimella	Tindallia__sp.__Mic8c12
Bin119	0.008783299	OTU_2357	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Fusibacteraceae	Fusibacter
Bin120	0.000167549	OTU_2913	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	uncultured
Bin121	0.00031605	OTU_2607	Firmicutes	Clostridia	Lachnospirales	Defluviitaleaceae	Defluviitaleaceae__UCG-011
Bin122	0.002084364	OTU_572	Firmicutes	Desulfitobacteriia	Desulfitobacteriales	uncultured	uncultured__Firmicutes__bacterium
Bin123	0.000211446	OTU_2928	Firmicutes	Desulfitobacteriia	Desulfitobacteriales	uncultured	uncultured__bacterium
Bin124	0.000255216	OTU_3073	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidetes__vadinHA17	uncultured__bacterium
Bin125	0.000289791	OTU_150	Firmicutes	Clostridia	Peptococcales	Peptococcaceae	uncultured
