"Common_n","Group","Metric","Mean","Median","Q2.5","Q97.5","N_iterations","Ref_Median","Difference_from_n14","Ratio_to_n14","Same_sign_as_n14"
10,"D0","Power_slope",-0.25363302538686,-0.254584085916847,-0.259198016419434,-0.246385247118274,100,-0.247022820725789,-0.00756126519105799,1.0306095816121,TRUE
10,"D0","Zeta_half_order",0.652473111874172,0.651806456243017,0.646550871658246,0.663083491895356,100,0.603632830013112,0.0481736262299055,1.07980617328063,TRUE
10,"D0","Zeta_last",0.557651892065052,0.556345924928467,0.550187757382648,0.567880892132054,100,0.517531616123165,0.038814308805302,1.0749989132955,TRUE
10,"D0","Zeta_order1",1,1,1,1,100,1,0,1,TRUE
10,"D0","Zeta_order2",0.830529145292945,0.829803670802255,0.82691759136037,0.8378351870378,100,0.830800464603281,-0.00099679380102613,0.998800200717868,TRUE
10,"D0","Zeta_order3",0.742966343452443,0.741853580497377,0.738001396100161,0.752996331822907,100,0.743340848974652,-0.00148726847727498,0.997999210618754,TRUE
10,"D1","DeltaAIC_ExpMinusPower",46.9313982065946,46.4496344122649,39.5440422035592,55.133882292691,100,52.7364219086837,-6.28678749641875,0.880788508797493,TRUE
10,"D1","Exp_slope",-0.124476486196824,-0.127947230660657,-0.13083857701502,-0.108998500049856,100,-0.0890781650417646,-0.0388690656188929,1.43634784799023,TRUE
10,"D1","Last_over_first",0.289437183266051,0.279509408688062,0.272329975102105,0.333882683269243,100,0.254591399305086,0.0249180093829755,1.09787451363632,TRUE
10,"D1","Power_slope",-0.545100051620622,-0.559822709969011,-0.572270626550106,-0.479244115849735,100,-0.521890420236079,-0.0379322897329315,1.07268247942887,TRUE
10,"D1","Zeta_half_order",0.406119951149719,0.397770147367489,0.388080355571748,0.446648600970077,100,0.341849916520013,0.055920230847476,1.16358123300639,TRUE
10,"D1","Zeta_last",0.289437183266051,0.279509408688062,0.272329975102105,0.333882683269243,100,0.254591399305086,0.0249180093829755,1.09787451363632,TRUE
10,"D1","Zeta_order1",1,1,1,1,100,1,0,1,TRUE
10,"D1","Zeta_order2",0.685612024812007,0.681841229475372,0.673366834170854,0.70821378745178,100,0.686104834202844,-0.004263604727472,0.993785782412646,TRUE
10,"D1","Zeta_order3",0.541731166854773,0.535530903226066,0.525377262502971,0.574438170365623,100,0.542404709590306,-0.00687380636423951,0.987327163199908,TRUE
10,"D3","DeltaAIC_ExpMinusPower",19.8849274391157,19.8873813921268,17.6762324936939,22.2637809810523,100,27.5351202305944,-7.64773883846755,0.722255113672243,TRUE
10,"D3","Exp_slope",-0.113188779807785,-0.113029717765501,-0.122432283707799,-0.1049640674765,100,-0.0782763874470193,-0.0347533303184817,1.44398229724135,TRUE
10,"D3","Last_over_first",0.289023549477734,0.290275207936015,0.262218825528894,0.313530414528761,100,0.257207726886507,0.033067481049508,1.12856332680899,TRUE
10,"D3","Power_slope",-0.519103687677199,-0.516616269768634,-0.559539239128961,-0.484991331653181,100,-0.480090943588905,-0.0365253261797285,1.07608001497942,TRUE
10,"D3","Zeta_half_order",0.367207139320357,0.368565042205492,0.341884878514539,0.385254034572826,100,0.320919372763743,0.047645669441749,1.1484661677836,TRUE
10,"D3","Zeta_last",0.289023549477734,0.290275207936015,0.262218825528894,0.313530414528761,100,0.257207726886507,0.033067481049508,1.12856332680899,TRUE
10,"D3","Zeta_order1",1,1,1,1,100,1,0,1,TRUE
10,"D3","Zeta_order2",0.589200259775036,0.589753632847425,0.573188416869119,0.604108980647443,100,0.587014668000766,0.00273896484665903,1.00466592232863,TRUE
10,"D3","Zeta_order3",0.463503715451436,0.463565572757589,0.440624539703199,0.480309104712968,100,0.460246622919212,0.00331894983837699,1.00721124213215,TRUE
10,"D5","DeltaAIC_ExpMinusPower",32.7958603308446,32.3762731025716,25.4849672912299,43.8349007499274,100,47.6472986685897,-15.2710255660181,0.679498607628617,TRUE
10,"D5","Exp_slope",-0.158384425057926,-0.157201808772139,-0.179086168773472,-0.140586222918485,100,-0.117155507816698,-0.0400463009554405,1.34182175214585,TRUE
10,"D5","Last_over_first",0.19304720859586,0.192836103018337,0.159685155850128,0.227151114800103,100,0.154344806400342,0.0384912966179955,1.24938511062145,TRUE
10,"D5","Power_slope",-0.703372699282995,-0.703417530256662,-0.784745536988517,-0.634014716002724,100,-0.686404515606523,-0.0170130146501385,1.02478569744709,TRUE
10,"D5","Zeta_half_order",0.293228965450049,0.295137982366641,0.264821100685599,0.320398497014599,100,0.236877660389633,0.0582603219770075,1.24595110354086,TRUE
10,"D5","Zeta_last",0.19304720859586,0.192836103018337,0.159685155850128,0.227151114800103,100,0.154344806400342,0.0384912966179955,1.24938511062145,TRUE
10,"D5","Zeta_order1",1,1,1,1,100,1,0,1,TRUE
