"Model","AIC","Common_n","Iteration","Group"
"Exponential",-22.7074174882989,10,20,"D1"
"PowerLaw",-67.947353477817,10,20,"D1"
"Exponential",-17.8436763965786,10,20,"D3"
"PowerLaw",-36.75953996672,10,20,"D3"
"Exponential",-17.0533000568709,10,20,"D5"
"PowerLaw",-49.0850034422081,10,20,"D5"
"Exponential",-8.72617709041797,10,20,"D6"
"PowerLaw",-34.677851470103,10,20,"D6"
"Exponential",-8.37616899779389,10,20,"D7"
"PowerLaw",-43.5007336903624,10,20,"D7"
"Exponential",-38.0645440432063,10,21,"D0"
"PowerLaw",-78.8643766011544,10,21,"D0"
"Exponential",-23.3672163702072,10,21,"D1"
"PowerLaw",-72.0115279956303,10,21,"D1"
"Exponential",-18.3645659814909,10,21,"D3"
"PowerLaw",-41.2038798036887,10,21,"D3"
"Exponential",-16.0760487069413,10,21,"D5"
"PowerLaw",-43.5194666166133,10,21,"D5"
"Exponential",-10.4434556027861,10,21,"D6"
"PowerLaw",-42.9430794002821,10,21,"D6"
"Exponential",-2.51398722821244,10,21,"D7"
"PowerLaw",-29.9002512421453,10,21,"D7"
"Exponential",-37.9865549400798,10,22,"D0"
"PowerLaw",-76.7030188709809,10,22,"D0"
"Exponential",-25.2992029592525,10,22,"D1"
"PowerLaw",-69.7095821868436,10,22,"D1"
"Exponential",-17.6863366923074,10,22,"D3"
"PowerLaw",-37.9942445602848,10,22,"D3"
"Exponential",-17.248110840042,10,22,"D5"
"PowerLaw",-50.5745799289717,10,22,"D5"
"Exponential",-8.06043913279681,10,22,"D6"
"PowerLaw",-32.2514733580439,10,22,"D6"
"Exponential",-3.25757110645279,10,22,"D7"
"PowerLaw",-37.5298515418037,10,22,"D7"
"Exponential",-38.2914080003246,10,23,"D0"
"PowerLaw",-83.130811068416,10,23,"D0"
"Exponential",-22.9842510868521,10,23,"D1"
"PowerLaw",-69.4443557226392,10,23,"D1"
"Exponential",-17.3253560765883,10,23,"D3"
"PowerLaw",-38.1708407245889,10,23,"D3"
"Exponential",-15.6104189912683,10,23,"D5"
"PowerLaw",-47.7685957713805,10,23,"D5"
"Exponential",-10.660457128506,10,23,"D6"
"PowerLaw",-43.8590400848028,10,23,"D6"
"Exponential",-8.89972122706067,10,23,"D7"
"PowerLaw",-35.4945131541588,10,23,"D7"
"Exponential",-38.4821214402422,10,24,"D0"
"PowerLaw",-83.7675896401381,10,24,"D0"
"Exponential",-25.0522180878411,10,24,"D1"
"PowerLaw",-68.4867227128708,10,24,"D1"
"Exponential",-17.352725478308,10,24,"D3"
"PowerLaw",-35.7850158740962,10,24,"D3"
"Exponential",-16.2537967147451,10,24,"D5"
"PowerLaw",-44.6257786833566,10,24,"D5"
"Exponential",-8.69820959488893,10,24,"D6"
"PowerLaw",-28.2869692193646,10,24,"D6"
"Exponential",-7.9709293180057,10,24,"D7"
"PowerLaw",-38.1229830691103,10,24,"D7"
"Exponential",-38.0155109098382,10,25,"D0"
"PowerLaw",-77.4130663256038,10,25,"D0"
"Exponential",-23.1332832604946,10,25,"D1"
"PowerLaw",-68.7755475151865,10,25,"D1"
"Exponential",-16.4308519373581,10,25,"D3"
"PowerLaw",-37.2090388573875,10,25,"D3"
"Exponential",-16.5547775916369,10,25,"D5"
"PowerLaw",-61.5752379885308,10,25,"D5"
"Exponential",-8.19847990397641,10,25,"D6"
