"Exp_slope","Power_slope","Zeta_order1","Zeta_order2","Zeta_order3","Zeta_last","Zeta_half_order","Last_over_first","Common_n","Iteration","Group","DeltaAIC_ExpMinusPower","PowerLaw_better"
-0.215594666957447,-0.952444675796448,1,0.469359963685883,0.311885307913451,0.108942351339083,0.195800819949708,0.108942351339083,10,4,"D6",37.0523776184137,TRUE
-0.224253499269208,-1.00978936458585,1,0.395729684908789,0.254975124378109,0.0932835820895522,0.159174366263918,0.0932835820895522,10,4,"D7",25.4212089660111,TRUE
-0.0594264615350158,-0.260647085553911,1,0.828387079766165,0.739768076398363,0.548668367044309,0.647336875315996,0.548668367044309,10,5,"D0",46.4840700265916,TRUE
-0.129013986985689,-0.564415137309353,1,0.677884821237422,0.531283451081139,0.276172125883109,0.394113629181067,0.276172125883109,10,5,"D1",48.5422096892807,TRUE
-0.121817497871066,-0.558155877859692,1,0.573940049358068,0.440895100241245,0.264537060144747,0.341832348944902,0.264537060144747,10,5,"D3",20.2369713839603,TRUE
-0.152480404221416,-0.680038208960423,1,0.56034188034188,0.417884615384615,0.203846153846154,0.300610500610501,0.203846153846154,10,5,"D5",30.1527597607939,TRUE
-0.183964937220248,-0.837464655331281,1,0.467986140775547,0.311120603730599,0.140965399401965,0.207295078076795,0.140965399401965,10,5,"D6",22.3286771019154,TRUE
-0.246627557977052,-1.10717579097205,1,0.359259259259259,0.22662037037037,0.0740740740740741,0.135765726043504,0.0740740740740741,10,5,"D7",26.2051998917214,TRUE
-0.0559987082012003,-0.248185019375651,1,0.827092991005983,0.739386465390863,0.56400808272911,0.65128325588328,0.56400808272911,10,6,"D0",34.7757062984942,TRUE
-0.129704986323424,-0.567875029611155,1,0.676289625513615,0.528235507014967,0.273998850354474,0.390846530432658,0.273998850354474,10,6,"D1",47.0068860923746,TRUE
-0.113046566436148,-0.51740598815585,1,0.587357675696898,0.464347195795959,0.288121772220712,0.369859822156642,0.288121772220712,10,6,"D3",20.0283891823373,TRUE
-0.152186246981816,-0.672597942829847,1,0.571896692967706,0.432156254042168,0.205665502522313,0.314565355310408,0.205665502522313,10,6,"D5",34.9799524318992,TRUE
-0.232290667494614,-1.03138924966716,1,0.438153124333547,0.278071017274472,0.0911708253358925,0.166042104621759,0.0911708253358925,10,6,"D6",33.3862218093432,TRUE
-0.295626143413289,-1.31184620333664,1,0.337224383916991,0.199578469520104,0.0486381322957198,0.103143721820765,0.0486381322957198,10,6,"D7",33.0489316679525,TRUE
-0.0560918420453976,-0.247566778989845,1,0.831437977937801,0.744550033447448,0.565458623539133,0.65593537615731,0.565458623539133,10,7,"D0",38.4355185728838,TRUE
