"Common_n","Group","Order","Mean_Zeta","Median_Zeta","Q2.5_Zeta","Q97.5_Zeta","Mean_Ratio","Median_Ratio","Q2.5_Ratio","Q97.5_Ratio","N_iterations"
12,"D1",6,0.370675271326923,0.365040426039414,0.360918098520388,0.406344717868364,0.908502561076395,0.907169613788555,0.904807457933551,0.918819638560921,100
12,"D1",7,0.34310738899112,0.336943148923734,0.333348557191677,0.379594366294372,0.925515420933176,0.924508478684429,0.922620923825833,0.93438948199771,100
12,"D1",8,0.321893079913356,0.315897258784553,0.3122823838793,0.358858691679792,0.938065794020389,0.937152124662064,0.935268385953458,0.945687349314622,100
12,"D1",9,0.305062884356213,0.299410649353281,0.295535977232265,0.342261884716035,0.947621516739613,0.946981466016912,0.944829471595269,0.954111778185834,100
12,"D1",10,0.291384437526242,0.286071990483134,0.282001413785731,0.328611708242787,0.95508106344713,0.954588743319418,0.95232662983428,0.960520537252586,100
12,"D1",11,0.280044374462089,0.274757207080016,0.270935841618139,0.3171178926108,0.96101469835849,0.960735346126485,0.958025753914396,0.965461931118403,100
12,"D1",12,0.270480504366585,0.265155093686034,0.261422772934457,0.307243143110359,0.965794766958621,0.965677853039465,0.962551744191745,0.969303591930144,100
12,"D3",1,1,1,1,1,NA,NA,NA,NA,100
12,"D3",2,0.58716780569895,0.587475610680486,0.5751040819521,0.598262750154406,0.58716780569895,0.587475610680486,0.5751040819521,0.598262750154406,100
12,"D3",3,0.460513132323462,0.461509208430233,0.446391904784505,0.473703019341983,0.784245498692867,0.784636963393962,0.773764042446585,0.794620982308995,100
12,"D3",4,0.399809951707332,0.400544791881782,0.384722508719257,0.414468159609273,0.868127511575935,0.8682209120157,0.861022841981221,0.876644331234086,100
12,"D3",5,0.363477709878744,0.364163132617528,0.348381072542345,0.378604143176696,0.909076339312391,0.90872639205994,0.903165196179828,0.916703063280151,100
12,"D3",6,0.338676848633318,0.339266955601864,0.323402550987468,0.35396462677867,0.93171974886906,0.931507159393726,0.926455887426581,0.938157992571029,100
