"Method","samp1","samp2","HeS","HoS","DL","HD","DR"
"CbMPDiCbraya","D001","D507",0.026296898991867,0.390988351843221,0.396943258307462,0.145623697327531,0.0401477935299191
"CbMPDiCbraya","D001","D508",0.0177582572014833,0.136213514752548,0.453537869098979,0.0506899447072196,0.34180041423977
"CbMPDiCbraya","D001","D509",0.0171701787385958,0.27288366702144,0.456891179457721,0.025749355068785,0.227305619713458
"CbMPDiCbraya","D001","D510",0.0248213790901054,0.175816537602572,0.36729670363438,0.0322214522534886,0.399843927419454
"CbMPDiCbraya","D001","D511",0.0248583336061877,0.350459363298879,0.431706155666572,0.145146828719067,0.0478293187092944
"CbMPDiCbraya","D001","D512",0.0249736088071181,0.345452290272839,0.148144973964248,0.141902949773825,0.33952617718197
"CbMPDiCbraya","D001","D513",0.028000350902558,0.388391854996479,0.216555592200382,0.0248044332188677,0.342247768681713
"CbMPDiCbraya","D001","D514",0.0237693000116264,0.147510653702939,0.620347706856887,0.106710488416561,0.101661851011986
"CbMPDiCbraya","D001","D515",0.0117781398456414,0.450897623725529,0.428666703053984,0.0458500058816963,0.0628075274931495
"CbMPDiCbraya","D001","D516",0.023766611990588,0.385886694156201,0.326925136810704,0.0251710348997272,0.238250522142779
"CbMPDiCbraya","D001","D517",0.0245811906687559,0.340248626982262,0.218673792318371,0.0196032930635646,0.396893096967046
"CbMPDiCbraya","D001","D518",0.0170846649110538,0.411820437414806,0.317895855769475,0.0178644262768347,0.23533461562783
"CbMPDiCbraya","D001","D519",0.0140997232357148,0.508471654270093,0.297297786065545,0.133536258912776,0.0465945775158714
"CbMPDiCbraya","D001","D520",0.0174122111681204,0.306303093967617,0.522757859383847,0.108614655860332,0.0449121796200829
"CbMPDiCbraya","D001","D601",0.0262893222512685,0.251596038807621,0.362610669931107,0.0274753919233021,0.332028577086702
"CbMPDiCbraya","D001","D602",0.0254102465490072,0.350303011611785,0.245829840754638,0.00947068119163532,0.368986219892934
"CbMPDiCbraya","D001","D603",0.0269956474517021,0.374700152926873,0.25626557037868,0.23123808219051,0.110800547052235
"CbMPDiCbraya","D001","D604",0.01663158859487,0.135069549119059,0.234428278825631,0.0114429554966134,0.602427627963826
"CbMPDiCbraya","D001","D605",0.019265037341585,0.242665105015566,0.297169827229941,0.0242145973126886,0.416685433100219
"CbMPDiCbraya","D001","D606",0.0267518834384548,0.343626269709083,0.311379075961672,0.0279906542125016,0.290252116678289
"CbMPDiCbraya","D001","D607",0.0210902803731522,0.183951455870049,0.514674928644426,0.169002585928999,0.111280749183374
"CbMPDiCbraya","D001","D608",0.0124368070364857,0.469234356358789,0.211433746255362,0.0281168175900722,0.278778272759292
"CbMPDiCbraya","D001","D609",0.0264305682870475,0.171457756285638,0.382395073317362,0.0101882426987768,0.409528359411175
"CbMPDiCbraya","D001","D610",0.024335996859516,0.443806052374876,0.213262657272451,0.190528550628813,0.128066742864344
"CbMPDiCbraya","D001","D611",0.0193423685355373,0.146843077166894,0.201536252738778,0.0219653394644948,0.610312962094296
"CbMPDiCbraya","D001","D612",0.0183859076271314,0.240368363189749,0.515430749303192,0.0164479978641061,0.209366982015821
"CbMPDiCbraya","D001","D613",0.0259111321193285,0.170691354293952,0.212424234340875,0.0286718164437342,0.56230146280211
"CbMPDiCbraya","D001","D614",0.0241152467500241,0.3574897147824,0.294372448251384,0.0353072807143575,0.288715309501835
"CbMPDiCbraya","D001","D615",0.020504763553359,0.172425137288837,0.314671696126344,0.00517674368667325,0.487221659344787
