"Bins","Group","Process","Relative importance","Family","Phylum","Rank_within_group_process","Shown_in_Fig4D"
"Bin10","D5","DL",0,"Spirochaetaceae","Spirochaetota",17,"No"
"Bin10","D5","DR",1.30451225278308e-05,"Spirochaetaceae","Spirochaetota",56,"No"
"Bin10","D5","HoS",3.52001789857195e-06,"Spirochaetaceae","Spirochaetota",51,"No"
"Bin10","D6","DL",0,"Spirochaetaceae","Spirochaetota",27,"No"
"Bin10","D6","DR",1.52662170516117e-06,"Spirochaetaceae","Spirochaetota",79,"No"
"Bin10","D6","HoS",4.01742553989783e-08,"Spirochaetaceae","Spirochaetota",79,"No"
"Bin10","D7","DL",0,"Spirochaetaceae","Spirochaetota",26,"No"
"Bin10","D7","DR",0,"Spirochaetaceae","Spirochaetota",95,"No"
"Bin10","D7","HoS",0,"Spirochaetaceae","Spirochaetota",73,"No"
"Bin11","D0","DL",0.00132390655526389,"Leptospiraceae","Spirochaetota",40,"No"
"Bin11","D0","DR",0.000546973365849318,"Leptospiraceae","Spirochaetota",57,"No"
"Bin11","D0","HoS",0.000307565021609064,"Leptospiraceae","Spirochaetota",42,"No"
"Bin11","D1","DL",0.000337704614719559,"Leptospiraceae","Spirochaetota",47,"No"
"Bin11","D1","DR",0.000210469445585995,"Leptospiraceae","Spirochaetota",65,"No"
"Bin11","D1","HoS",0.000227768540736644,"Leptospiraceae","Spirochaetota",52,"No"
"Bin11","D3","DL",0,"Leptospiraceae","Spirochaetota",11,"No"
"Bin11","D3","DR",3.9360718947148e-07,"Leptospiraceae","Spirochaetota",100,"No"
"Bin11","D3","HoS",0,"Leptospiraceae","Spirochaetota",94,"No"
"Bin11","D5","DL",0,"Leptospiraceae","Spirochaetota",17,"No"
"Bin11","D5","DR",0,"Leptospiraceae","Spirochaetota",85,"No"
"Bin11","D5","HoS",0,"Leptospiraceae","Spirochaetota",70,"No"
"Bin11","D6","DL",0,"Leptospiraceae","Spirochaetota",27,"No"
"Bin11","D6","DR",0,"Leptospiraceae","Spirochaetota",95,"No"
"Bin11","D6","HoS",0,"Leptospiraceae","Spirochaetota",83,"No"
"Bin11","D7","DL",0,"Leptospiraceae","Spirochaetota",26,"No"
"Bin11","D7","DR",0,"Leptospiraceae","Spirochaetota",95,"No"
"Bin11","D7","HoS",0,"Leptospiraceae","Spirochaetota",73,"No"
"Bin12","D0","DL",0,"uncultured","Firmicutes",67,"No"
"Bin12","D0","DR",4.96571332222146e-07,"uncultured","Firmicutes",98,"No"
"Bin12","D0","HoS",6.56983551273338e-07,"uncultured","Firmicutes",64,"No"
"Bin12","D1","DL",0.00024878310292312,"uncultured","Firmicutes",54,"No"
"Bin12","D1","DR",1.28551741757193e-05,"uncultured","Firmicutes",100,"No"
"Bin12","D1","HoS",0.000532447001389211,"uncultured","Firmicutes",43,"No"
"Bin12","D3","DL",0,"uncultured","Firmicutes",11,"No"
"Bin12","D3","DR",2.94355581712488e-06,"uncultured","Firmicutes",85,"No"
"Bin12","D3","HoS",0,"uncultured","Firmicutes",94,"No"
"Bin12","D5","DL",0,"uncultured","Firmicutes",17,"No"
"Bin12","D5","DR",0,"uncultured","Firmicutes",85,"No"
"Bin12","D5","HoS",0,"uncultured","Firmicutes",70,"No"
"Bin12","D6","DL",0,"uncultured","Firmicutes",27,"No"
"Bin12","D6","DR",0,"uncultured","Firmicutes",95,"No"
"Bin12","D6","HoS",0,"uncultured","Firmicutes",83,"No"
"Bin12","D7","DL",0,"uncultured","Firmicutes",26,"No"
"Bin12","D7","DR",0,"uncultured","Firmicutes",95,"No"
"Bin12","D7","HoS",0,"uncultured","Firmicutes",73,"No"
