OTUID	Kingdom	Phylum	Class	Order	Family	Genus
OTU_3119	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prolixibacteraceae	Sunxiuqinia
OTU_3114	Bacteria	Cloacimonadota	Cloacimonadia	Cloacimonadales	MSBL8	uncultured__bacterium
OTU_3120	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Candidatus__Riegeria
OTU_3117	Bacteria	Fusobacteriota	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium
OTU_3118	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio
OTU_3122	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Eggerthellaceae	Enterorhabdus
OTU_3121	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium__sensu__stricto__7
OTU_3125	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Celeribacter
OTU_3128	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	uncultured
OTU_3127	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Altererythrobacter
OTU_3123	Bacteria	Firmicutes	Clostridia	Lachnospirales	Defluviitaleaceae	Defluviitaleaceae__UCG-011
OTU_3124	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Sedimentitalea
OTU_3126	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Pseudophaeobacter
OTU_3130	Bacteria	Actinobacteriota	Coriobacteriia	OPB41	unidentified__marine__bacterioplankton	uncultured__bacterium
OTU_3133	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Oceanirhabdus
OTU_3134	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	uncultured
OTU_3129	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Hyphomicrobium
OTU_3132	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Shinella
OTU_3131	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Rubellimicrobium
OTU_3136	Bacteria	Firmicutes	Clostridia	Christensenellales	Christensenellaceae	Christensenellaceae__R-7__group
OTU_3135	Bacteria	Firmicutes	Clostridia	Lachnospirales	Defluviitaleaceae	Defluviitaleaceae__UCG-011
OTU_3139	Bacteria	Thermotogota	Thermotogae	Petrotogales	Petrotogaceae	SC103
OTU_3137	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Marinilabiliaceae	uncultured
OTU_3140	Bacteria	Chloroflexi	Anaerolineae	SBR1031	uncultured__bacterium	uncultured__bacterium
OTU_3138	Bacteria	Actinobacteriota	Coriobacteriia	OPB41	uncultured__bacterium	uncultured__bacterium
OTU_3143	Bacteria	SAR324__clade(Marine__group__B)	uncultured__proteobacterium	uncultured__bacterium	uncultured__bacterium	uncultured__bacterium
OTU_3142	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Thermotaleaceae	Crassaminicella
OTU_3141	Bacteria	Firmicutes	Clostridia	Christensenellales	Christensenellaceae	Christensenellaceae__R-7__group
OTU_3144	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	Anaerolinea
OTU_3147	Bacteria	Firmicutes	TSAC18	uncultured__bacterium	uncultured__bacterium	uncultured__bacterium
OTU_3145	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Chroococcidiopsaceae	Chlorogloea__SAG__10.99
OTU_3146	Bacteria	Actinobacteriota	Coriobacteriia	OPB41	uncultured__bacterium	uncultured__bacterium
OTU_3148	Bacteria	SAR324__clade(Marine__group__B)	uncultured__bacterium	uncultured__bacterium	uncultured__bacterium	uncultured__bacterium
OTU_3149	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Anaeromicrobium	Marinisporobacter__balticus
OTU_3153	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	uncultured	uncultured__bacterium
OTU_3154	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Jannaschia
OTU_3151	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Coprococcus
OTU_3150	Bacteria	Firmicutes	D8A-2	uncultured__bacterium	uncultured__bacterium	uncultured__bacterium
OTU_3156	Bacteria	Bdellovibrionota	Bdellovibrionia	Bdellovibrionales	Bdellovibrionaceae	Bdellovibrio
OTU_3152	Bacteria	Firmicutes	Desulfitobacteriia	Desulfitobacteriales	uncultured	uncultured__bacterium
OTU_3155	Bacteria	Acidobacteriota	Blastocatellia	Blastocatellales	Blastocatellaceae	uncultured
OTU_3159	Bacteria	Bacteroidota	Bacteroidia	Bacteroidetes__VC2.1__Bac22	uncultured__bacterium	uncultured__bacterium
OTU_3158	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Youngiibacter
OTU_3161	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Oceanirhabdus
OTU_3157	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas
OTU_3160	Bacteria	Chloroflexi	KD4-96	uncultured__bacterium	uncultured__bacterium	uncultured__bacterium
OTU_3162	Bacteria	Patescibacteria	Kazania	uncultured__bacterium	uncultured__bacterium	uncultured__bacterium
OTU_3164	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	Leptolinea
OTU_3163	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospiraceae__UCG-001
OTU_3166	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Kaistiaceae	Kaistia
OTU_3165	Bacteria	Spirochaetota	Spirochaetia	Spirochaetales	Spirochaetaceae	Sediminispirochaeta
OTU_3170	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Yoonia-Loktanella
