"Group","HeS","HoS","DL","HD","DR"
"D3",0,0.81746941492006,0,0.00139763203372367,0.181132953046216
"D3",0,0.805104483192892,0.0755290096942351,0.00242811834977756,0.116938388763095
"D3",0,0.821315544025719,0,0.000743133719246043,0.177941322255035
"D3",0.000102719331207753,0.536264952310501,0,0.00117822435234434,0.462454104005947
"D3",0,0.84211878741235,0,0.00213047650879924,0.155750736078851
"D3",0.000659328058708864,0.84350396108003,0,0.00157355518202936,0.154263155679231
"D3",0,0.912321784600202,0,0.00572858862153732,0.0819496267782608
"D3",0,0.832604852827684,0,0.00201021543108203,0.165384931741234
"D3",0.000203689693301519,0.916520926149778,0,0.00584717922154643,0.0774282049353744
"D3",0.000203689693301519,0.91686927904494,0,0.013816713186017,0.0691103180757417
"D3",0,0.830355420031814,0.0671597599579679,0.00107304310316359,0.101411776907055
"D3",0.000235751753403666,0.910293691523249,0,0.00150987263975603,0.0879606840835918
"D3",0,0.834732164927368,0,0.00169479130719832,0.163573043765433
"D3",0,0.838462319176942,0,0.0033953846642229,0.158142296158835
"D3",0,0.445246379064541,0,0.0115537039574048,0.543199916978054
"D3",0,0.387278872839465,0,0.0160306257681944,0.596690501392341
"D3",0,0.410905172040907,0,0.0127630858768951,0.576331742082198
"D3",0,0.382763918256536,0,0.00122600664905915,0.616010075094404
"D3",0,0.486192412916573,0.0107674147413803,0.0112277176016493,0.491812454740397
"D3",0,0.872753359998239,0,0.00738093701332175,0.119865702988439
"D3",0.0001181242398496,0.424568266312801,0,0.00206646332862059,0.573247146118729
"D3",0,0.868568625840204,0,0.00277775302554719,0.128653621134249
"D3",0,0.33937425171537,0,0.00154346172321608,0.659082286561414
"D3",0,0.898852457079175,0,0.00202988614259971,0.099117656778225
"D3",0,0.883255117662688,0,0.00168396801861979,0.115060914318692
"D3",0,0.892978229352761,0,0.00278537100308475,0.104236399644154
"D3",0,0.877371281745462,0,0.00158439981237189,0.121044318442166
"D3",0,0.881686470151667,0,0.0115223827458084,0.106791147102524
"D3",0,0.889404846074842,0,0.00252415588984827,0.10807099803531
"D3",0,0.882478807978699,0,0.00892997180022254,0.108591220221079
"D3",0,0.49435382687017,0,0.0120038986219289,0.493642274507902
"D3",0,0.383860972916278,0,0.0137748794307459,0.602364147652976
"D3",0,0.411190552437934,0,0.0149060909978688,0.573903356564197
"D3",0,0.376386238779352,0,0.0018965144464104,0.621717246774237
"D3",0,0.846071915194153,0.00536842792170091,0.0120550843172148,0.136504572566931
"D3",0.000192244120653542,0.875519954194479,0,0.00182226639563182,0.122465535289235
"D3",0,0.418941438018643,0,0.00286079761854782,0.57819776436281
"D3",0.000119423284350951,0.859998842196192,0,0.00156045808668307,0.138321276432774
"D3",0,0.329571614430919,0,0.00268394160548313,0.667744443963598
"D3",0,0.890582605599871,0,0.0123788928945414,0.0970385015055873
"D3",0,0.877367479158415,0,0.0249618859772822,0.097670634864303
"D3",0,0.44547070556352,0,0.00158946411056148,0.552939830325919
"D3",0,0.864493766745933,0,0.00160130700938651,0.133904926244681
"D3",0.000208103242429561,0.868246174250749,0,0.0124520156065248,0.119093706900297
"D3",0,0.881439978887752,0,0.00277164004769904,0.115788381064549
"D3",0,0.870403233276775,0,0.00483626852606189,0.124760498197163
"D3",0,0.500180313742138,0,0.00387182490803222,0.495947861349829
"D3",8.97424391994974e-05,0.362163273502524,0,0.0129043030146027,0.624842681043673
"D3",4.34664636374516e-05,0.32212655411014,0,0.000921720254093207,0.67690825917213
"D3",0,0.421433510959619,0.00414798792982434,0.00781340720862423,0.566605093901933
"D3",0.000131363848668846,0.846658006064044,0,0.00072251292248227,0.152488117164805
"D3",2.975455690572e-05,0.407624136403611,0.000775006231693259,0.0106072438983362,0.580963858909454
"D3",0,0.861105166526321,0,0.000486859571738634,0.13840797390194
"D3",0.000888659557390208,0.279611483225854,0,0.0016045218732048,0.717895335343551
"D3",0,0.905591088838164,0.000742937300956103,0.00329995215914346,0.090366021701737
"D3",0,0.853483911212323,0,0.000823676621778609,0.145692412165898
"D3",0,0.428067375543003,0.000742745949726191,0.000334185471919133,0.570855693035351
"D3",0,0.907897808984051,0,0.00497902679605207,0.0871231642198967
"D3",0,0.851616661591275,0,0.0119325729028212,0.136450765505904
"D3",0.000235751753403666,0.90252909029213,0.00067112092107618,0.00505619776195388,0.0915078392714358
"D3",0,0.854154535092446,0.000685531804175096,0.00381572898088752,0.141344204122492
"D3",0,0.430500795813683,0.000727035260308476,0.0138900522421484,0.55488211668386
"D3",4.35097385912305e-05,0.350764064209641,0,0.00367115581376558,0.645521270238002
"D3",0,0.850982284484165,0.00540500847125415,0.0165291608386339,0.127083546205947
"D3",0,0.883278956582837,0,0.0016407362644083,0.115080307152755
"D3",5.95956637189978e-05,0.39022226047402,0,0.00717930013095357,0.602538843731308
"D3",0,0.891328562140918,0,0.000577164585337258,0.108094273273745
"D3",0,0.304080907506499,0,0.00145827604805169,0.69446081644545
"D3",0,0.908291350816922,0,0.0135584710609688,0.0781501781221095
"D3",0,0.892146689172723,0,0.000840657672155369,0.107012653155122
"D3",0,0.414602729834182,0,0.000545826898757934,0.58485144326706
"D3",8.97424391994974e-05,0.884935892622828,0,0.00205454298844348,0.112919821949529
"D3",0,0.883670649999269,0,0.0129547315491673,0.103374618451563
"D3",0,0.896962054290524,0,0.00553869976476289,0.0974992459447127
"D3",0,0.888449241925386,0,0.00434208801141922,0.107208670063195
"D3",0,0.46617725788398,0,0.0107428165272018,0.523079925588818
"D3",0,0.840824258948096,0.00345332122910456,0.00246774458371614,0.153254675239083
