id	node.degree	node.betw	node.stress	node.evcent	Clustering.Coefficient	No..module	Zi	Pi	Group	Kingdom	Phylum	Class	Order	Family	Genus
OTU_1211	22	0.0184849826112072	-0.107048814863684	5.04972296242656e-05	0.168831168831169	M1	0.257260989543047	0	D0	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prolixibacteraceae	Draconibacterium
OTU_1211	6	0.097565646710648	0.0309443702430667	0.00469962202945975	0.266666666666667	M2	-0.0924967100822096	0.277777777777778	D1	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prolixibacteraceae	Draconibacterium
OTU_1211	5	0.194224364972673	0.353285327822255	0.112241474868031	0	M4	0.515710623129397	0.56	D3	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prolixibacteraceae	Draconibacterium
OTU_1224	12	1.40555911478419	1.10393136095176	0.0103090374720531	0.166666666666667	M2	0.871010686607473	0.291666666666667	D1	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prolixibacteraceae	Draconibacterium
OTU_1234	3	1.40457486647398	1.48741897156338	6.86060782602883e-05	0.333333333333333	M1	0.669438681395203	0	D3	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prolixibacteraceae	Sunxiuqinia
OTU_1238	5	0.0694585043082705	0.077242573834117	0.102474710922902	0	M2	0.221803487683567	0.56	D5	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Marinifilaceae	Marinifilum
OTU_1240	3	0.164623648228334	-0.107402168119744	0.000612657648087967	0	M6	0	0.444444444444444	D1	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Marinilabiliaceae	uncultured
OTU_1258	17	2.88404597770438	1.47349074270238	0.053419601312825	0.0882352941176471	M1	0.200606554424726	0.484429065743945	D1	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Lentimicrobiaceae	uncultured__bacterium
OTU_1260	8	1.71709939346793	2.47804081086466	0.0161212795550041	0.25	M2	0.292906248593663	0.21875	D1	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Lentimicrobiaceae	uncultured__bacterium
OTU_13	11	0.284536234336719	0.229757961691189	0.00242835181085912	0.254545454545455	M2	1.06371216594541	0	D1	Bacteria	Cloacimonadota	Cloacimonadia	Cloacimonadales	LK-44f	uncultured__bacterium
OTU_1303	4	0.172735350744899	-0.231974692957392	0.0035731570188656	0	M4	0.461083967620704	0.375	D1	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	SB-5	uncultured__organism
OTU_1311	10	2.84150415526454	1.86746375518034	0.198770777769576	0	M7	1.74865761892032	0.64	D3	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Marinilabiliaceae	uncultured
