OTUID	node.degree	node.betw	node.stress	node.evcent	Clustering.Coefficient	No..module	Zi	Pi	Group	Kingdom	Phylum	Class	Order	Family	Genus	CultStrains	Identity
OTU_1799	8	0.141183945	0.910575398	0.016335653	0.178571429	M2	0.292906249	0.21875	D1	Bacteria	Bacillota	Bacilli	Izemoplasmatales	Izemoplasmataceae	bacterium__enrichment__culture__clone__R4-81B	NA	NA
OTU_181	11	2.617856122	2.657118042	0.264154341	0.018181818	M4	2.688956639	0.545454545	D5	Bacteria	Thermodesulfobacteriota	Desulfovibrionia	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio	NA	NA
OTU_1814	8	1.890985783	2.097473733	0.216711161	0	M1	0.890244728	0.65625	D5	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Marinilabiliaceae	uncultured	X7	87.529
OTU_1825	10	1.339860616	1.646684205	0.160884864	0	M5	1.811039337	0.54	D6	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prolixibacteraceae	Sunxiuqinia	D721004B	95.991
OTU_1842	8	0.405820487	0.421542118	0.133014682	0	M1	0.380142961	0.65625	D6	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prolixibacteraceae	Sunxiuqinia	D726006A	100
OTU_190	4	0.342348761	0.200267297	0.058156578	0	M3	0.474578998	0.375	D3	Bacteria	Pseudomonadota	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	D622004A	94.651
OTU_1938	9	0.229814959	0.18661681	6.90E-06	0.25	M2	-0.06192611	0	D0	Bacteria	Actinomycetota	Actinobacteria	Micrococcales	Bogoriellaceae	Georgenia	D115019	94.673
OTU_1948	13	0.1410642	-0.133388438	6.22E-05	0.205128205	M1	-0.351796654	0	D0	Bacteria	Actinomycetota	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	D112027B	93.674
OTU_1956	52	1.850460805	1.501511603	1.75E-06	0.153846154	M2	4.239556743	0	D0	Bacteria	Actinomycetota	Acidimicrobiia	Actinomarinales	uncultured	uncultured__bacterium	D112027B	88.02
OTU_1961	19	5.554388014	4.505349076	0.272222539	0.011695906	M1	2.204829172	0.747922438	D6	Bacteria	Actinomycetota	Actinobacteria	Corynebacteriales	Nocardiaceae	Rhodococcus	D15	95.844
