OTUID	node.degree	node.betw	node.stress	node.evcent	Clustering.Coefficient	No..module	Zi	Pi	Group	Kingdom	Phylum	Class	Order	Family	Genus	CultStrains	Identity
OTU_2328	19	9.051866183	9.62089611	0.038946579	0.409356725	M3	-0.547768716	0.432132964	D0	Bacteria	Synergistota	Synergistia	Synergistales	Synergistaceae	Aminobacterium	NA	NA
OTU_233	43	0.007812673	0.213310325	6.44E-05	0.03654485	M1	1.678395492	0	D0	Bacteria	Thermodesulfobacteriota	Desulfobacteria	Desulfobacterales	Desulfosarcinaceae	Desulfosarcina	NA	NA
OTU_2339	17	0.037290568	0.262128631	0.050074874	0.691176471	M3	-0.386608467	0.110726644	D0	Bacteria	Bacillota	Clostridia	Peptostreptococcales-Tissierellales	Guggenheimella	Tindallia__sp.__Mic8c12	NA	NA
OTU_2340	34	0.023837499	0.067241586	0.000181692	0.415329768	M1	1.069337848	0	D0	Bacteria	Synergistota	Synergistia	Synergistales	Synergistaceae	uncultured	NA	NA
OTU_2344	54	0.451443681	0.942879536	9.66E-05	0.205450734	M1	2.422799279	0	D0	Bacteria	Chloroflexota	Anaerolineae	SBR1031	uncultured__soil__bacterium	uncultured__bacterium	NA	NA
OTU_2365	10	1.073980483	0.716872918	0.003454542	0	M3	1.463986275	0.54	D1	Bacteria	Bacillota	Clostridia	Peptostreptococcales-Tissierellales	Dethiosulfatibacteraceae	Dethiosulfatibacter	NA	NA
OTU_2368	7	2.196600893	2.277662241	0.171990028	0	M3	1.944873838	0.448979592	D5	Bacteria	Pseudomonadota	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	D738004B	91.841
OTU_2375	14	0.198018633	0.606257115	0.002525384	0.56043956	M1	-0.419469726	0.244897959	D0	Bacteria	Chloroflexota	Chloroflexotaa	Thermomicrobiales	JG30-KF-CM45	uncultured__bacterium	NA	NA
OTU_2396	4	0.190415021	-0.110553907	0.033663146	0	M3	0.093612972	0.375	D6	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Candidatus__Riegeria	D103039A	87.835
OTU_2401	66	0.169217649	0.45132665	0.190966308	0.45967366	M3	2.299395688	0	D0	Bacteria	Chloroflexota	Anaerolineae	SBR1031	uncultured__organism	uncultured__bacterium	NA	NA
OTU_2442	8	0.276847787	0.480548963	0.011102352	0	M5	3.18316354	0.375	D1	Bacteria	Bacillota	Clostridia	Peptostreptococcales-Tissierellales	Guggenheimella	Tindallia__sp.__Mic8c12	NA	NA
OTU_2468	16	0.126402578	0.370183596	0.14714324	0.275	M1	0.784725639	0	D1	Bacteria	Cloacimonadota	Cloacimonadia	Cloacimonadales	MSBL8	uncultured__bacterium	NA	NA
OTU_2473	9	0.458000264	0.577291134	1.43E-07	0.277777778	M2	-0.06192611	0	D0	Bacteria	Synergistota	Synergistia	Synergistales	Synergistaceae	Aminobacterium	NA	NA
OTU_2480	22	4.987711352	5.822977379	0.293355528	0.004329004	M3	4.025357792	0.657024793	D6	Bacteria	Pseudomonadota	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	D738004B	88.345
OTU_2480	5	0.40552237	0.198074868	0.073521922	0	M3	0.37242265	0.56	D5	Bacteria	Pseudomonadota	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	D738004B	88.345
OTU_2525	7	0.271874517	-0.11022534	1.82E-08	0.19047619	M2	-0.26199508	0	D0	Bacteria	Thermotogota	Thermotogae	Petrotogales	Petrotogaceae	SC103	NA	NA
OTU_254	17	1.214441547	1.760601666	2.13E-05	0.213235294	M1	-0.216450511	0.207612457	D0	Bacteria	Thermodesulfobacteriota	Desulfobulbia	Desulfobulbales	Desulfocapsaceae	Desulfopila	NA	NA
OTU_2547	11	0.369118422	0.289513784	7.49E-06	0.218181818	M2	0.13814286	0	D0	Bacteria	Synergistota	Synergistia	Synergistales	Synergistaceae	Thermovirga	NA	NA
OTU_2595	22	0.733661907	0.890910611	0.023156582	0.168831169	M2	3.183428439	0	D1	Bacteria	Bacillota	Clostridia	Peptostreptococcales-Tissierellales	Dethiosulfatibacteraceae	Dethiosulfatibacter	NA	NA
OTU_2605	62	1.144095505	1.278230836	0.000137794	0.30407192	M1	2.964183851	0	D0	Bacteria	Chloroflexota	Anaerolineae	Anaerolineales	Anaerolineaceae	uncultured	NA	NA
OTU_2607	3	0.715329912	0.779881927	0.026042255	0	M1	-0.165311631	0	D7	Bacteria	Bacillota	Clostridia	Lachnospirales	Defluviitaleaceae	Defluviitaleaceae__UCG-011	NA	NA
OTU_2613	15	0.439882028	0.158361585	1.14E-05	0.314285714	M1	-0.284123583	0.124444444	D0	Bacteria	Chloroflexota	Anaerolineae	Anaerolineales	Anaerolineaceae	uncultured	NA	NA
OTU_2616	12	0.292256732	0.408127105	0.044631562	0.348484848	M2	0.485607728	0.444444444	D1	Bacteria	Bacillota	Clostridia	Peptostreptococcales-Tissierellales	livecontrolB21	uncultured__bacterium	NA	NA
OTU_2617	3	0.947864321	0.446850275	8.60E-07	0	M10	1.45999279	0	D1	Bacteria	Bacillota	Clostridia	Peptostreptococcales-Tissierellales	uncultured	marine__sediment__metagenome	NA	NA
OTU_2624	4	1.687310494	1.171068848	0.000245962	0.333333333	M2	-0.477899669	0.375	D1	Bacteria	Bacillota	Clostridia	Peptostreptococcales-Tissierellales	Dethiosulfatibacteraceae	Dethiosulfatibacter	NA	NA
OTU_2625	39	0.407761064	0.202957836	0.116653368	0.543859649	M3	0.848953444	0	D0	Bacteria	Chloroflexota	Anaerolineae	Anaerolineales	Anaerolineaceae	Ornatilinea	NA	NA
OTU_2642	4	0.418823438	0.460938104	0.115440456	0	M3	-1.200028538	0.75	D5	Bacteria	Bacillota	Clostridia	Peptostreptococcales-Tissierellales	Anaerovoracaceae	Anaerovorax	NA	NA
OTU_2651	5	0.545169429	0.55209229	0.15913743	0	M1	0.351412392	0.56	D5	Bacteria	Bacillota	Clostridia	Peptostreptococcales-Tissierellales	Fusibacteraceae	Fusibacter	NA	NA
OTU_2659	11	3.290894193	2.34697111	0.004291665	0.054545455	M3	3.354968547	0.165289256	D1	Bacteria	Actinomycetota	Acidimicrobiia	Actinomarinales	uncultured	uncultured__actinobacterium	D636008	87.775
OTU_2664	12	0.813497452	3.003340021	0.010772585	0.439393939	M3	-0.655208882	0.152777778	D0	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Seohaeicola	D734005B	100
OTU_2679	32	1.749383671	1.674296802	0.20355685	0.151209677	M1	1.952963809	0.224609375	D1	Bacteria	Bacillota	Clostridia	Peptostreptococcales-Tissierellales	Dethiosulfatibacteraceae	Dethiosulfatibacter	D304019A	87.379
OTU_2689	18	0.395559416	-0.319517417	3.03E-05	0.183006536	M1	-0.081104368	0.104938272	D0	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Candidatus__Riegeria	D735004B	90.732
OTU_2691	42	3.972060504	5.192127878	0.201946406	0.078977933	M1	2.147670171	0.447845805	D1	Bacteria	Bacillota	Clostridia	Peptostreptococcales-Tissierellales	GoM-GC232-4463-Bac1	uncultured__bacterium	NA	NA
OTU_2704	4	0.001283561	0.043159061	0.044784142	0.333333333	M1	-0.480865711	0.375	D1	Bacteria	Bacillota	Clostridia	Peptostreptococcales-Tissierellales	Dethiosulfatibacteraceae	Dethiosulfatibacter	NA	NA
OTU_2745	10	0.650648851	-0.342524175	1.87E-06	0.088888889	M5	2.706081711	0.42	D0	Bacteria	Chloroflexota	Anaerolineae	uncultured	uncultured__organism	uncultured__bacterium	NA	NA
OTU_2754	4	0.062156177	-0.044596132	0.000229808	0	M2	-0.285198189	0	D1	Bacteria	Bacillota	Bacilli	Izemoplasmatales	Izemoplasmataceae	uncultured__bacterium	NA	NA
OTU_2757	5	0.00551126	-0.026475528	0.114805267	0	M5	0.146051559	0.56	D6	Bacteria	Bacillota	Clostridia	Peptostreptococcales-Tissierellales	Fusibacteraceae	Fusibacter	NA	NA
OTU_2763	61	1.048770386	1.43613008	0.178584377	0.469945355	M3	2.030795272	0	D0	Bacteria	Bacillota	Clostridia	Clostridiales	Clostridiaceae	Oceanirhabdus	A357	88.642
OTU_2763	2	3.612847247	3.701679895	0.024575841	0	M1	-1.399735425	0.5	D3	Bacteria	Bacillota	Clostridia	Clostridiales	Clostridiaceae	Oceanirhabdus	A357	88.642
OTU_2797	4	0.053742361	0.064809569	0.017892085	0	M6	0.420084025	0.375	D6	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Lachnoclostridium	NA	NA
OTU_2811	11	0.220361019	0.152443996	8.55E-06	0.363636364	M2	0.13814286	0	D0	Bacteria	Actinomycetota	Acidimicrobiia	Actinomarinales	uncultured	uncultured__bacterium	D636008	88.564
OTU_2817	12	0.574554651	0.653762242	1.48E-07	0.318181818	M2	0.238177345	0	D0	Bacteria	Chloroflexota	Anaerolineae	Anaerolineales	Anaerolineaceae	uncultured	NA	NA
OTU_2859	8	0.558788175	0.927352975	0.297992358	0.035714286	M2	-0.366679399	0.75	D3	Bacteria	Bacillota	Clostridia	Peptostreptococcales-Tissierellales	JTB215	bacterium__enrichment__culture__clone__AOM-SR-B4	NA	NA
OTU_2872	5	1.027055401	0.342808827	0.050532189	0.2	M5	0.10976426	0.48	D1	Bacteria	Bacillota	Clostridia	Peptostreptococcales-Tissierellales	JTB215	uncultured__Firmicutes__bacterium	NA	NA
OTU_2888	5	0.069783485	-0.075436061	0.000975094	0	M2	-0.09249671	0	D1	Bacteria	Bacillota	Clostridia	Peptostreptococcales-Tissierellales	Dethiosulfatibacteraceae	Dethiosulfatibacter	NA	NA
OTU_2896	3	0.923197258	0.751359582	0.04499794	0	M3	-0.413802944	0.444444444	D5	Bacteria	Bacillota	Clostridia	Peptostreptococcales-Tissierellales	Peptostreptococcaceae	Peptoclostridium	NA	NA
OTU_2904	34	5.576542544	4.584755744	0.001334595	0.417112299	M1	1.001664777	0.057093426	D0	Bacteria	Chloroflexota	Anaerolineae	Anaerolineales	Anaerolineaceae	uncultured	NA	NA
OTU_2910	15	0.733478751	0.816011418	0.001206848	0.514285714	M1	-0.284123583	0.124444444	D0	Bacteria	Chloroflexota	Anaerolineae	Anaerolineales	Anaerolineaceae	ADurb.Bin120	NA	NA
OTU_2915	56	0.741004182	1.02983016	0.000260464	0.292207792	M1	2.558145422	0	D0	Bacteria	Chloroflexota	Anaerolineae	Anaerolineales	Anaerolineaceae	ADurb.Bin120	NA	NA
OTU_2924	66	1.633026453	0.596917869	0.000204951	0.308158508	M1	3.234876138	0	D0	Bacteria	Chloroflexota	Anaerolineae	Anaerolineales	Anaerolineaceae	ADurb.Bin120	NA	NA
OTU_2926	12	2.176995758	2.107268623	0.044173515	0.272727273	M2	0.485607728	0.444444444	D1	Bacteria	Bacillota	Clostridia	Peptostreptococcales-Tissierellales	uncultured	marine__sediment__metagenome	NA	NA
OTU_2926	3	2.467817124	2.502538591	0.001272417	0	M1	0.669438681	0	D3	Bacteria	Bacillota	Clostridia	Peptostreptococcales-Tissierellales	uncultured	marine__sediment__metagenome	NA	NA
OTU_2958	32	0.227477914	-0.201325796	0.103112427	0.429435484	M3	0.472912863	0	D0	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Nautella	A517	97.525
OTU_2974	11	0.810728422	2.675210142	0.000479633	0.418181818	M2	-0.06192611	0.297520661	D0	Bacteria	Bacillota	Clostridia	Peptostreptococcales-Tissierellales	Thermotaleaceae	Crassaminicella	NA	NA
OTU_2974	8	2.505771731	2.928460737	0.233301177	0	M4	0.907959385	0.625	D5	Bacteria	Bacillota	Clostridia	Peptostreptococcales-Tissierellales	Thermotaleaceae	Crassaminicella	NA	NA
OTU_2977	34	2.509577767	0.270970815	9.90E-06	0.158645276	M2	2.438936014	0	D0	Bacteria	Bacillota	Clostridia	Clostridiales	Clostridiaceae	Oceanirhabdus	A357	90.842
OTU_3008	5	0.009406843	-0.059763345	0.076926226	0	M3	1.993231791	0	D3	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Candidatus__Riegeria	D735004B	89.216
OTU_3041	14	0.135761821	0.605055244	1.13E-06	0	M2	0.438246315	0	D0	Bacteria	Bacillota	Clostridia	Clostridiales	Clostridiaceae	Clostridium__sensu__stricto__5	A357	91.584
OTU_3050	16	1.650235222	1.960394757	1.82E-05	0.116666667	M1	-0.351796654	0.3046875	D0	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Roseovarius	D111079A	96.287
OTU_3051	4	0.358213765	0.091498052	0.010903298	0.333333333	M1	-0.480865711	0.375	D1	Bacteria	Bacillota	Clostridia	Peptostreptococcales-Tissierellales	JTB215	bacterium__enrichment__culture__clone__AOM-SR-B4	NA	NA
OTU_3064	11	2.241114624	1.739170421	0.205162522	0.036363636	M3	1.841055114	0.545454545	D6	Bacteria	Actinomycetota	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	NA	NA
OTU_3076	3	0.108068227	-0.358679121	1.26E-09	0.333333333	M4	0.512989176	0	D0	Bacteria	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	D107092	93.812
OTU_3095	14	0.29296621	0.110420148	9.31E-06	0.351648352	M2	0.438246315	0	D0	Bacteria	Bacillota	Clostridia	Peptostreptococcales-Tissierellales	Clostridiisalibacter	uncultured__bacterium	NA	NA
OTU_3107	6	0.109542707	0.532368002	0.23306936	0	M1	0.220415508	0.444444444	D7	Bacteria	Bacillota	Clostridia	Peptostreptococcales-Tissierellales	Anaerovoracaceae	S5-A14a	NA	NA
OTU_3107	16	5.811044149	3.590417641	0.000219047	0.416666667	M2	0.438246315	0.21875	D0	Bacteria	Bacillota	Clostridia	Peptostreptococcales-Tissierellales	Anaerovoracaceae	S5-A14a	NA	NA
OTU_3112	11	0.323463336	0.276797517	0.00852518	0.181818182	M2	1.063712166	0	D1	Bacteria	Cloacimonadota	Cloacimonadia	Cloacimonadales	LK-44f	uncultured__bacterium	NA	NA
OTU_3119	6	0.06977633	0.207742812	0.096804264	0	M5	0.701047485	0.444444444	D6	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prolixibacteraceae	Sunxiuqinia	D726006A	94.805
OTU_3122	13	1.827682635	1.760790576	0.13884933	0	M2	1.700579139	0.721893491	D6	Bacteria	Actinomycetota	Coriobacteriia	Coriobacteriales	Eggerthellaceae	Enterorhabdus	NA	NA
OTU_3128	14	0.427880365	0.982546374	0.001267058	0.681318681	M1	-0.351796654	0.132653061	D0	Bacteria	Chloroflexota	Anaerolineae	Anaerolineales	Anaerolineaceae	uncultured	NA	NA
OTU_3137	9	5.307878089	6.043474424	1.88E-06	0.194444444	M5	1.589286084	0.49382716	D0	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Marinilabiliaceae	uncultured	D309031	88.35
OTU_3181	39	0.214874302	0.629558287	0.000357608	0.429149798	M1	1.407703206	0	D0	Bacteria	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Erythrobacter	D115023D	98.515
OTU_3200	13	2.513804723	2.545121736	0.228123435	0	M4	1.889822365	0.75739645	D6	Bacteria	Fusobacteriota	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	NA	NA
OTU_3282	40	0.014264274	0.626676601	0.086506241	0.353846154	M3	0.902673527	0	D0	Bacteria	Bacillota	Clostridia	Peptostreptococcales-Tissierellales	Dethiosulfatibacteraceae	Dethiosulfatibacter	NA	NA
OTU_3282	25	3.02566469	2.775698109	0.029247606	0.003333333	M2	2.990726959	0.2848	D1	Bacteria	Bacillota	Clostridia	Peptostreptococcales-Tissierellales	Dethiosulfatibacteraceae	Dethiosulfatibacter	NA	NA
OTU_3283	2	1.235045661	0.644624319	1.45E-05	0	M10	-0.811107106	0.5	D1	Bacteria	Bacillota	Clostridia	Peptostreptococcales-Tissierellales	Dethiosulfatibacteraceae	Dethiosulfatibacter	NA	NA
OTU_3286	19	1.491382944	2.091242255	0.0625201	0.169590643	M2	1.063712166	0.55401662	D1	Bacteria	Bacillota	Bacilli	Izemoplasmatales	Izemoplasmataceae	bacterium__enrichment__culture__clone__R4-81B	NA	NA
OTU_3287	12	0.024143757	0.115147774	0.04961848	0.212121212	M2	0.100204769	0.5	D1	Bacteria	Bacillota	Clostridia	Peptostreptococcales-Tissierellales	Dethiosulfatibacteraceae	Dethiosulfatibacter	NA	NA
OTU_3291	8	4.981061458	5.644794	2.48E-08	0.107142857	M2	-0.26199508	0.21875	D0	Bacteria	Bacillota	Clostridia	Peptostreptococcales-Tissierellales	uncultured	marine__sediment__metagenome	NA	NA
OTU_3297	17	0.010754166	0.092915486	0.02999015	0.580882353	M3	-0.332888384	0	D0	Bacteria	Bacillota	Clostridia	Peptostreptococcales-Tissierellales	uncultured	marine__sediment__metagenome	NA	NA
OTU_3299	5	0.091165649	0.218407385	0.160065398	0	M3	0.27050089	0.48	D7	Bacteria	Bacillota	Clostridia	Peptostreptococcales-Tissierellales	Dethiosulfatibacteraceae	Dethiosulfatibacter	NA	NA
OTU_3301	57	0.885203695	1.285238564	0.16750092	0.467418546	M3	1.81591494	0	D0	Bacteria	Bacillota	Clostridia	Peptostreptococcales-Tissierellales	Peptostreptococcaceae	Acetoanaerobium	A564	87.379
OTU_3306	7	0.293862401	0.187742889	0.080507496	0.380952381	M1	-0.28615935	0.408163265	D1	Bacteria	Bacillota	Clostridia	Peptostreptococcales-Tissierellales	Fusibacteraceae	Fusibacter	D304019A	87.622
OTU_3308	5	0.630219835	0.632647153	0.141697397	0	M5	-0.145864991	0.64	D5	Bacteria	Bacillota	Clostridia	Peptostreptococcales-Tissierellales	Peptostreptococcaceae	Peptoclostridium	NA	NA
OTU_3309	3	0.358631411	0.049916125	5.09E-08	0	M10	1.45999279	0	D1	Bacteria	Bacillota	Clostridia	Peptostreptococcales-Tissierellales	uncultured	marine__sediment__metagenome	NA	NA
OTU_3322	6	1.251004827	1.097347556	0.001425819	0	M7	1.568929081	0.444444444	D1	Bacteria	Bacillota	Clostridia	Peptostreptococcales-Tissierellales	uncultured	marine__sediment__metagenome	NA	NA
OTU_3325	5	0.234526083	0.38028851	0.161442487	0	M6	0.24000768	0.56	D3	Bacteria	Bacillota	Clostridia	Peptostreptococcales-Tissierellales	uncultured	uncultured__bacterium	NA	NA
OTU_3330	11	5.44431016	3.880824465	0.059716176	0.163636364	M3	0.991240707	0.578512397	D1	Bacteria	Bacillota	Clostridia	Peptostreptococcales-Tissierellales	uncultured	marine__sediment__metagenome	D304019A	87.948
OTU_3343	4	0.275209736	0.066251504	0.026854318	0	M2	0.458349249	0.375	D3	Bacteria	Bacillota	Clostridia	Peptostreptococcales-Tissierellales	Peptostreptococcaceae	Peptoclostridium	A564	86.645
OTU_3345	12	0.337004666	0.023814069	4.36E-07	0.136363636	M2	0.238177345	0	D0	Bacteria	Bacillota	Clostridia	Peptostreptococcales-Tissierellales	uncultured	marine__sediment__metagenome	NA	NA
OTU_3362	17	4.223383048	5.98599618	0.12280846	0.147058824	M1	0.103253374	0.546712803	D1	Bacteria	Bacillota	Bacilli	Izemoplasmatales	Izemoplasmataceae	uncultured__bacterium	NA	NA
OTU_3372	6	0.078411191	0.178040439	0.049431564	0.266666667	M1	-0.28615935	0.277777778	D1	Bacteria	Bacillota	Bacilli	Izemoplasmatales	Izemoplasmataceae	bacterium__enrichment__culture__clone__R4-81B	NA	NA
OTU_3376	5	0.621501995	0.71532799	0.18583788	0	M3	-0.284747399	0.64	D3	Bacteria	Bacillota	Clostridia	Peptostreptococcales-Tissierellales	JTB215	uncultured__bacterium	NA	NA
OTU_3381	10	0.405628059	0.631643399	1.44E-07	0.266666667	M2	0.038108375	0	D0	Bacteria	Synergistota	Synergistia	Synergistales	Synergistaceae	uncultured	NA	NA
OTU_3391	10	0.194367589	0.141377352	8.00E-06	0.355555556	M2	0.038108375	0	D0	Bacteria	Bacillota	Bacilli	Izemoplasmatales	Izemoplasmataceae	bacterium	NA	NA
OTU_3402	2	0.570338634	0.051249737	0.00466659	0	M5	0.092057462	0	D3	Bacteria	Bacillota	Clostridia	Peptostreptococcales-Tissierellales	JTB215	bacterium__enrichment__culture__clone__AOM-SR-B4	NA	NA
OTU_3418	54	0.750872432	1.095227827	0.157903338	0.464011181	M3	1.654754691	0	D0	Bacteria	Bacillota	Clostridia	Peptostreptococcales-Tissierellales	Peptostreptococcaceae	Romboutsia	NA	NA
OTU_3441	4	0.040822817	-0.13697854	0.078820402	0	M3	0.093612972	0.375	D6	Bacteria	Bacillota	Clostridia	Peptostreptococcales-Tissierellales	Dethiosulfatibacteraceae	Dethiosulfatibacter	NA	NA
OTU_3455	4	0.157392895	0.06000509	0.059933908	0	M2	0.278276586	0.375	D6	Bacteria	Bacillota	Clostridia	Peptostreptococcales-Tissierellales	Anaerovoracaceae	uncultured__bacterium	NA	NA
OTU_376	9	1.137733932	1.066543393	0.139487236	0.027777778	M1	0.836314513	0.641975309	D6	Bacteria	Pseudomonadota	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	D501013A	89.815
OTU_376	7	1.132513449	1.31100389	0.132471228	0	M5	2.479704855	0.448979592	D5	Bacteria	Pseudomonadota	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	D501013A	89.815
OTU_396	7	1.897792265	1.349161457	0.204630477	0	M1	1.429077063	0.408163265	D5	Bacteria	Spirochaetota	Spirochaetia	Spirochaetales	Spirochaetaceae	Sphaerochaeta	NA	NA
OTU_396	8	0.133808399	-0.000415334	0.001863976	0.142857143	M2	0.485607728	0	D1	Bacteria	Spirochaetota	Spirochaetia	Spirochaetales	Spirochaetaceae	Sphaerochaeta	NA	NA
OTU_398	18	2.053451548	1.706262908	0.044015797	0.209150327	M2	1.449115125	0.425925926	D1	Bacteria	Bacillota	Bacilli	Erysipelotrichales	Erysipelotrichaceae	Turicibacter	D21	91.415
OTU_4	9	0.801211058	0.243791862	0.002777412	0.194444444	M2	0.678309207	0	D1	Bacteria	Cloacimonadota	Cloacimonadia	Cloacimonadales	MSBL8	uncultured__bacterium	NA	NA
OTU_430	47	1.006365987	1.071021747	1.23E-06	0.150786309	M2	3.739384318	0	D0	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Hydrogenophaga	D106022	91.163
OTU_444	6	1.375919948	1.007362403	0.168211204	0	M7	0.380142961	0.666666667	D3	Bacteria	Pseudomonadota	Gammaproteobacteria	Vibrionales	Vibrionaceae	Photobacterium	D630008A	95.105
OTU_453	6	0.797674552	0.852973288	0.187854163	0	M3	0.27050089	0.611111111	D7	Bacteria	Spirochaetota	Spirochaetia	Spirochaetales	Spirochaetaceae	Sphaerochaeta	NA	NA
OTU_46	7	0.287379782	0.746933187	0.000569388	0	M6	2.405351177	0.408163265	D1	Bacteria	Marinimicrobia__(SAR406__clade)	uncultured__bacterium	uncultured__bacterium	uncultured__bacterium	uncultured__bacterium	NA	NA
OTU_468	5	0.396619524	0.270150271	0.166357373	0.1	M4	-0.279372118	0.64	D5	Bacteria	Spirochaetota	Spirochaetia	Spirochaetales	Spirochaetaceae	Sphaerochaeta	NA	NA
OTU_495	33	0.65629624	0.11438475	0.096104144	0.399621212	M3	0.526632946	0	D0	Bacteria	Pseudomonadota	Gammaproteobacteria	Oceanospirillales	Halomonadaceae	Halomonas	D627021	100
OTU_501	8	0.380540992	0.735030411	0.219252541	0	M1	1.377596922	0.21875	D7	Bacteria	Bacillota	Bacilli	Exiguobacterales	Exiguobacteraceae	Exiguobacterium	D701010A	97.203
OTU_503	8	0.380540992	0.735030411	0.219252541	0	M1	1.377596922	0.21875	D7	Bacteria	Bacillota	Bacilli	Exiguobacterales	Exiguobacteraceae	Exiguobacterium	D714008A	95.804
OTU_518	11	2.255838232	1.880902545	0.147543612	0	M6	2.100420126	0.694214876	D6	Bacteria	Pseudomonadota	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	D738002A	89.277
OTU_519	7	0.885632624	1.090537951	0.182968671	0	M1	0.890244728	0.571428571	D5	Bacteria	Pseudomonadota	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	D520045B	96.97
OTU_528	13	1.917303272	2.014226831	0.17249401	0	M5	2.366035263	0.650887574	D6	Bacteria	Pseudomonadota	Gammaproteobacteria	Vibrionales	Vibrionaceae	Catenococcus	D738002A	96.737
OTU_528	7	5.297447145	5.297867986	0.113364043	0	M4	1.237705496	0.612244898	D3	Bacteria	Pseudomonadota	Gammaproteobacteria	Vibrionales	Vibrionaceae	Catenococcus	D738002A	96.737
OTU_531	8	0.368913336	0.923352503	0.202706553	0	M6	1.872059907	0.46875	D3	Bacteria	Spirochaetota	Spirochaetia	Spirochaetales	Spirochaetaceae	Sphaerochaeta	NA	NA
OTU_537	5	0.879817059	1.065099573	0.149845629	0	M2	0.823841526	0.32	D5	Bacteria	Pseudomonadota	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	D711002	96.97
OTU_538	5	0.298168895	0.456698374	0.118824702	0	M2	0.221803488	0.56	D5	Bacteria	Pseudomonadota	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	D711002	95.804
OTU_545	12	0.123444005	-0.319150356	4.97E-06	0.136363636	M1	-0.419469726	0	D0	Bacteria	Myxococcota	Polyangia	Polyangiales	Sandaracinaceae	uncultured	NA	NA
OTU_561	14	1.795890859	2.358948183	0.177536486	0	M3	1.404194579	0.734693878	D6	Bacteria	Pseudomonadota	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	D502008B	90.909
OTU_562	5	0.065491444	0.03124738	0.125216179	0	M7	1.748657619	0	D3	Bacteria	Spirochaetota	Spirochaetia	Spirochaetales	Spirochaetaceae	Sphaerochaeta	NA	NA
OTU_563	7	1.172027354	1.438195779	0.190704647	0	M5	-0.145864991	0.734693878	D5	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Candidatus__Riegeria	D515010	87.209
OTU_565	11	1.270612741	1.661097641	0.173778407	0	M6	0.420084025	0.776859504	D6	Bacteria	Pseudomonadota	Gammaproteobacteria	Alteromonadales	Shewanellaceae	Shewanella	D729012C	96.503
OTU_572	3	3.487439186	3.502656443	0.005607565	0	M1	0.669438681	0	D3	Bacteria	Bacillota	Desulfitobacteriia	Desulfitobacteriales	uncultured	uncultured__Firmicutes__bacterium	NA	NA
OTU_60	7	1.034287131	1.070925706	0.017474567	0.095238095	M2	-0.09249671	0.448979592	D1	Bacteria	Fermentibacterota	Fermentibacteria	Fermentibacterales	Fermentibacteraceae	uncultured__bacterium	NA	NA
OTU_600	7	0.22282551	0.509223855	0.124673822	0	M5	1.256043411	0.448979592	D6	Bacteria	Spirochaetota	Spirochaetia	Spirochaetales	Spirochaetaceae	Sphaerochaeta	NA	NA
OTU_605	8	0.221905205	0.540452967	0.121227024	0	M5	0.146051559	0.71875	D6	Bacteria	Pseudomonadota	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	D309043C	97.669
OTU_611	4	0.076359896	-0.093738231	0.046981411	0	M5	0.701047485	0	D6	Bacteria	Bacillota	Bacilli	Erysipelotrichales	Erysipelotrichaceae	Faecalibaculum	NA	NA
OTU_632	4	0.024147244	-0.367346272	4.85E-08	0.333333333	M4	1.333771858	0	D0	Bacteria	Actinomycetota	Thermoleophilia	Solirubrobacterales	67-14	uncultured__bacterium	NA	NA
