SampleID	Group	Measure	Value
D012	D0	se.chao1	55.05
D013	D0	se.chao1	51.239
D014	D0	se.chao1	45.297
D101	D1	se.chao1	70.164
D102	D1	se.chao1	62.922
D103	D1	se.chao1	53.08
D104	D1	se.chao1	80.819
D105	D1	se.chao1	87.403
D106	D1	se.chao1	77.66
D107	D1	se.chao1	62.478
D108	D1	se.chao1	61.462
D109	D1	se.chao1	61.156
D110	D1	se.chao1	101.978
D111	D1	se.chao1	79.47
D112	D1	se.chao1	68.89
D113	D1	se.chao1	72.113
D114	D1	se.chao1	87.05
D301	D3	se.chao1	57.667
D302	D3	se.chao1	72.104
D303	D3	se.chao1	38.765
D304	D3	se.chao1	44.737
D305	D3	se.chao1	47.59
D306	D3	se.chao1	73.558
D307	D3	se.chao1	38.268
D308	D3	se.chao1	57.923
D309	D3	se.chao1	36.931
D310	D3	se.chao1	50.434
D311	D3	se.chao1	36.942
D312	D3	se.chao1	57.997
D313	D3	se.chao1	45.202
D314	D3	se.chao1	53.905
D315	D3	se.chao1	40.102
D316	D3	se.chao1	56.76
D317	D3	se.chao1	52.316
D318	D3	se.chao1	40.105
D319	D3	se.chao1	60.104
D320	D3	se.chao1	94.984
D501	D5	se.chao1	36.022
D502	D5	se.chao1	34.554
D503	D5	se.chao1	33.964
D504	D5	se.chao1	39.444
D505	D5	se.chao1	39.468
D506	D5	se.chao1	41.961
D507	D5	se.chao1	58.317
D508	D5	se.chao1	28.498
D509	D5	se.chao1	53.44
D510	D5	se.chao1	38.842
D511	D5	se.chao1	41.974
D512	D5	se.chao1	43.496
D513	D5	se.chao1	42.963
D514	D5	se.chao1	67.472
D515	D5	se.chao1	49.31
D516	D5	se.chao1	36.018
D517	D5	se.chao1	41.425
D518	D5	se.chao1	41.42
D519	D5	se.chao1	75.456
D520	D5	se.chao1	36.242
D601	D6	se.chao1	27.203
D602	D6	se.chao1	42.036
D603	D6	se.chao1	51.253
D604	D6	se.chao1	45.802
D605	D6	se.chao1	32.515
D606	D6	se.chao1	33.248
D607	D6	se.chao1	30.576
D608	D6	se.chao1	54.158
D609	D6	se.chao1	53.66
D610	D6	se.chao1	34.617
D611	D6	se.chao1	31.706
D612	D6	se.chao1	26.455
D613	D6	se.chao1	25.541
D614	D6	se.chao1	26.712
D615	D6	se.chao1	16.005
D616	D6	se.chao1	23.34
D617	D6	se.chao1	28.639
D618	D6	se.chao1	25.963
D619	D6	se.chao1	39.501
D620	D6	se.chao1	30.821
D621	D6	se.chao1	15.045
D622	D6	se.chao1	31.462
D623	D6	se.chao1	20.099
D624	D6	se.chao1	23.918
D625	D6	se.chao1	35.773
D626	D6	se.chao1	28.8
D627	D6	se.chao1	27.204
D628	D6	se.chao1	32.25
D629	D6	se.chao1	29.799
D630	D6	se.chao1	22.701
D631	D6	se.chao1	28.059
D632	D6	se.chao1	37.429
D633	D6	se.chao1	25.553
D634	D6	se.chao1	45.204
D635	D6	se.chao1	33.843
D636	D6	se.chao1	20.367
D637	D6	se.chao1	38.126
D638	D6	se.chao1	38.102
D639	D6	se.chao1	30.269
D640	D6	se.chao1	18.655
D701	D7	se.chao1	40.392
D702	D7	se.chao1	34.31
D703	D7	se.chao1	25.683
D704	D7	se.chao1	17.961
D705	D7	se.chao1	18.796
D706	D7	se.chao1	28.514
D707	D7	se.chao1	29.062
D708	D7	se.chao1	17.26
D709	D7	se.chao1	19.605
D710	D7	se.chao1	22.492
D711	D7	se.chao1	37.866
D712	D7	se.chao1	33.089
D713	D7	se.chao1	34.527
D714	D7	se.chao1	18.287
D715	D7	se.chao1	19.724
D716	D7	se.chao1	23.164
D717	D7	se.chao1	19.605
D718	D7	se.chao1	17.562
D719	D7	se.chao1	18.362
D720	D7	se.chao1	44.935
D721	D7	se.chao1	20.025
D722	D7	se.chao1	42.306
D723	D7	se.chao1	13.88
D724	D7	se.chao1	12.567
D725	D7	se.chao1	25.395
D726	D7	se.chao1	12.048
D727	D7	se.chao1	32.785
D728	D7	se.chao1	25.277
D729	D7	se.chao1	25.091
D730	D7	se.chao1	6.332
D731	D7	se.chao1	15.468
D732	D7	se.chao1	24.895
D733	D7	se.chao1	32.959
D734	D7	se.chao1	9.897
D735	D7	se.chao1	21.801
D736	D7	se.chao1	12.646
D737	D7	se.chao1	28.919
D738	D7	se.chao1	25.156
D739	D7	se.chao1	13.825
D740	D7	se.chao1	12.166
D001	D0	ACE	2253.032
D002	D0	ACE	2030.589
D003	D0	ACE	2082.153
D004	D0	ACE	2134.762
D005	D0	ACE	2160.422
D006	D0	ACE	2261.018
D007	D0	ACE	2177.454
D008	D0	ACE	2098.542
D009	D0	ACE	2091.516
D010	D0	ACE	2112.525
D011	D0	ACE	2057.786
D012	D0	ACE	2138.056
D013	D0	ACE	2092.707
D014	D0	ACE	2057.175
D101	D1	ACE	2487.131
D102	D1	ACE	2391.975
D103	D1	ACE	2294.33
D104	D1	ACE	2457.187
D105	D1	ACE	2690.724
D106	D1	ACE	2400.208
D107	D1	ACE	2360.103
D108	D1	ACE	2349.071
D109	D1	ACE	2298.597
D110	D1	ACE	2102.197
D111	D1	ACE	2331.141
D112	D1	ACE	2337.881
D113	D1	ACE	2268.281
D114	D1	ACE	2577.65
D301	D3	ACE	965.423
D302	D3	ACE	750.496
D303	D3	ACE	473.222
D304	D3	ACE	748.457
D305	D3	ACE	629.734
D306	D3	ACE	800.027
D307	D3	ACE	627.508
D308	D3	ACE	804.166
D309	D3	ACE	636.882
D310	D3	ACE	674.203
D311	D3	ACE	521.226
D312	D3	ACE	742.067
D313	D3	ACE	548.879
D314	D3	ACE	664.544
D315	D3	ACE	477.526
D316	D3	ACE	572.283
D317	D3	ACE	690.025
D318	D3	ACE	507.244
D319	D3	ACE	660.729
D320	D3	ACE	573.489
D501	D5	ACE	314.142
D502	D5	ACE	410.218
D503	D5	ACE	360.095
D504	D5	ACE	398.714
D505	D5	ACE	400.913
D506	D5	ACE	449.12
D507	D5	ACE	400.269
D508	D5	ACE	416.928
D509	D5	ACE	558.615
D510	D5	ACE	340.445
D511	D5	ACE	443.636
D512	D5	ACE	200.493
D513	D5	ACE	384.219
D514	D5	ACE	452.335
D515	D5	ACE	629.921
D516	D5	ACE	440.875
D517	D5	ACE	353.059
D518	D5	ACE	398.912
D519	D5	ACE	452.73
D520	D5	ACE	438.714
D601	D6	ACE	359.483
D602	D6	ACE	339.784
D603	D6	ACE	357.851
D604	D6	ACE	346.923
D605	D6	ACE	350.086
D606	D6	ACE	307.033
D607	D6	ACE	306.697
D608	D6	ACE	365.348
D609	D6	ACE	357.223
D610	D6	ACE	271.567
D611	D6	ACE	294.408
D612	D6	ACE	341.29
D613	D6	ACE	272.321
D614	D6	ACE	342.751
D615	D6	ACE	243.125
D616	D6	ACE	291.367
D617	D6	ACE	273.772
D618	D6	ACE	295.292
D619	D6	ACE	430.769
D620	D6	ACE	273.385
D621	D6	ACE	236.562
D622	D6	ACE	393.267
D623	D6	ACE	179.491
D624	D6	ACE	188.637
D625	D6	ACE	289.069
D626	D6	ACE	313.104
D627	D6	ACE	297.789
D628	D6	ACE	349.49
D629	D6	ACE	211.765
D630	D6	ACE	231.065
D631	D6	ACE	438.838
D632	D6	ACE	345.048
D633	D6	ACE	384.756
D634	D6	ACE	376.677
D635	D6	ACE	378.507
D636	D6	ACE	290.538
D637	D6	ACE	382.955
D638	D6	ACE	383.58
D639	D6	ACE	436.559
D640	D6	ACE	172.046
D701	D7	ACE	203.144
D702	D7	ACE	230.965
D703	D7	ACE	231.442
D704	D7	ACE	149.645
D705	D7	ACE	158.505
D706	D7	ACE	96.023
D707	D7	ACE	243.6
D708	D7	ACE	170.73
D709	D7	ACE	123.754
D710	D7	ACE	174.304
D711	D7	ACE	290.259
D712	D7	ACE	276.04
D713	D7	ACE	232.115
D714	D7	ACE	169.147
D715	D7	ACE	210.62
D716	D7	ACE	120.445
D717	D7	ACE	119.636
D718	D7	ACE	159.424
D719	D7	ACE	206.131
D720	D7	ACE	192.096
D721	D7	ACE	143.134
D722	D7	ACE	273.531
D723	D7	ACE	100.089
D724	D7	ACE	139.82
D725	D7	ACE	198.054
D726	D7	ACE	114.749
D727	D7	ACE	230.533
D728	D7	ACE	219.515
D729	D7	ACE	167.333
D730	D7	ACE	47.705
D731	D7	ACE	86.327
D732	D7	ACE	215.226
D733	D7	ACE	132.387
D734	D7	ACE	128.95
D735	D7	ACE	138.735
D736	D7	ACE	86.427
D737	D7	ACE	209.059
D738	D7	ACE	146.069
D739	D7	ACE	126.825
D740	D7	ACE	147.797
D001	D0	se.ACE	23.397
D002	D0	se.ACE	21.668
