Group	OTU	fV	fM	fN	rChisqX	rChisqP	rKsD	rKsP
D7	OTU_3050	0.025	0.025	1	39	0.469878197771206	0.537816469418554	1.78474124368222e-10
D7	OTU_3051	0.025	0.025	1	39	0.469878197771206	0.537816469418554	1.78474124368222e-10
D7	OTU_3061	0.025	0.025	1	39	0.469878197771206	0.537816469418554	1.78474124368222e-10
D7	OTU_3062	0.250641025641026	0.175	5	55.8571428571428	0.0391643990323865	0.511662584042321	1.60403934579278e-09
D7	OTU_3065	23.3532051282051	1.075	3	847.232558139535	1.58951529874738e-152	0.51301876343559	1.43526990292742e-09
D7	OTU_3066	0.9	0.15	1	234	1.20244330156291e-29	0.537816469418554	1.78474124368222e-10
D7	OTU_3067	0.609615384615385	0.175	2	135.857142857143	1.21358526783023e-12	0.538673952740862	1.65769509230529e-10
D7	OTU_3068	38.025	1.025	2	1446.80487804878	1.98251207221681e-278	0.516008989636489	1.12208753400012e-09
D7	OTU_3076	0.0711538461538462	0.075	3	37	0.561409819379416	0.535708278325764	2.13898010414937e-10
D7	OTU_3078	0.0487179487179487	0.05	2	38	0.515344526832293	0.539605341381721	1.52971968425675e-10
D7	OTU_3081	0.0487179487179487	0.05	2	38	0.515344526832293	0.539605341381721	1.52971968425675e-10
D7	OTU_3082	17.1666666666667	0.75	2	892.666666666667	5.67641032146863e-162	0.521822706033089	6.92461976647962e-10
D7	OTU_3085	0.122435897435897	0.075	2	63.6666666666667	0.00757732631292697	0.534859739190541	2.30021557356963e-10
D7	OTU_3086	0.025	0.025	1	39	0.469878197771206	0.537816469418554	1.78474124368222e-10
D7	OTU_3089	0.025	0.025	1	39	0.469878197771206	0.537816469418554	1.78474124368222e-10
D7	OTU_309	0.0487179487179487	0.05	2	38	0.515344526832293	0.539605341381721	1.52971968425675e-10
D7	OTU_3091	0.0487179487179487	0.05	2	38	0.515344526832293	0.539605341381721	1.52971968425675e-10
D7	OTU_3107	27.4455128205128	2.125	9	503.705882352941	4.29540399300403e-82	0.432490422286545	6.3433410046887e-07
D7	OTU_3108	0.025	0.025	1	39	0.469878197771206	0.537816469418554	1.78474124368222e-10
D7	OTU_311	0.025	0.025	1	39	0.469878197771206	0.537816469418554	1.78474124368222e-10
D7	OTU_3117	0.178846153846154	0.225	9	31	0.815800222633185	0.477650188414659	2.36754067461931e-08
D7	OTU_3119	0.163461538461538	0.125	4	51	0.0944475529201084	0.521405213560314	7.17014891904455e-10
D7	OTU_3123	0.1	0.05	1	78	0.000207739952128995	0.537816469418554	1.78474124368222e-10
D7	OTU_3124	18.2153846153846	0.7	2	1014.85714285714	1.7751805000876e-187	0.515139633459192	1.20551357785104e-09
D7	OTU_3125	0.419871794871795	0.125	2	131	7.11262973950273e-12	0.526484737832737	4.6837722589288e-10
D7	OTU_3126	13.2205128205128	0.6	2	859.333333333333	4.86719671132477e-155	0.515534461849444	1.16689979900997e-09
D7	OTU_3129	0.1	0.05	1	78	0.000207739952128995	0.537816469418554	1.78474124368222e-10
D7	OTU_3132	0.0487179487179487	0.05	2	38	0.515344526832293	0.539605341381721	1.52971968425675e-10
D7	OTU_3151	0.0487179487179487	0.05	2	38	0.515344526832293	0.539605341381721	1.52971968425675e-10
D7	OTU_3155	0.0923076923076923	0.1	4	36	0.607472313434934	0.528975175509086	3.79551168272485e-10
D7	OTU_3157	0.025	0.025	1	39	0.469878197771206	0.537816469418554	1.78474124368222e-10
D7	OTU_3160	0.143589743589744	0.1	3	56	0.0380966886946534	0.529071254594338	3.76476960717298e-10
D7	OTU_3170	0.025	0.025	1	39	0.469878197771206	0.537816469418554	1.78474124368222e-10
D7	OTU_3182	0.025	0.025	1	39	0.469878197771206	0.537816469418554	1.78474124368222e-10
D7	OTU_3186	0.025	0.025	1	39	0.469878197771206	0.537816469418554	1.78474124368222e-10
D7	OTU_3197	0.025	0.025	1	39	0.469878197771206	0.537816469418554	1.78474124368222e-10
D7	OTU_3200	0.0487179487179487	0.05	2	38	0.515344526832293	0.539605341381721	1.52971968425675e-10
D7	OTU_3202	0.225	0.075	1	117	1.00860452443215e-09	0.537816469418554	1.78474124368222e-10
D7	OTU_3211	0.025	0.025	1	39	0.469878197771206	0.537816469418554	1.78474124368222e-10
D7	OTU_3216	1476.225	6.075	1	9477	0	0.537816469418554	1.78474124368222e-10
D7	OTU_3227	0.025	0.025	1	39	0.469878197771206	0.537816469418554	1.78474124368222e-10
D7	OTU_3228	0.025	0.025	1	39	0.469878197771206	0.537816469418554	1.78474124368222e-10
D7	OTU_3243	0.122435897435897	0.075	2	63.6666666666667	0.00757732631292697	0.534859739190541	2.30021557356963e-10
D7	OTU_3246	0.317307692307692	0.125	2	99	4.0312281770154e-07	0.537806602963674	1.78625780833386e-10
D7	OTU_3252	148.225	1.925	1	3003	0	0.537816469418554	1.78474124368222e-10
D7	OTU_3257	0.0487179487179487	0.05	2	38	0.515344526832293	0.539605341381721	1.52971968425675e-10
D7	OTU_3258	0.025	0.025	1	39	0.469878197771206	0.537816469418554	1.78474124368222e-10
D7	OTU_3260	0.025	0.025	1	39	0.469878197771206	0.537816469418554	1.78474124368222e-10
D7	OTU_3261	0.025	0.025	1	39	0.469878197771206	0.537816469418554	1.78474124368222e-10
D7	OTU_3264	0.284615384615385	0.15	4	74	0.000604847198519649	0.510708278325764	1.734254073682e-09
D7	OTU_3265	0.143589743589744	0.1	3	56	0.0380966886946534	0.529071254594338	3.76476960717298e-10
D7	OTU_3267	0.0487179487179487	0.05	2	38	0.515344526832293	0.539605341381721	1.52971968425675e-10
D7	OTU_3268	0.122435897435897	0.075	2	63.6666666666667	0.00757732631292697	0.534859739190541	2.30021557356963e-10
D7	OTU_3269	0.225	0.075	1	117	1.00860452443215e-09	0.537816469418554	1.78474124368222e-10
D7	OTU_327	0.225	0.075	1	117	1.00860452443215e-09	0.537816469418554	1.78474124368222e-10
D7	OTU_3270	0.0923076923076923	0.1	4	36	0.607472313434934	0.528975175509086	3.79551168272485e-10
D7	OTU_3272	0.163461538461538	0.125	4	51	0.0944475529201084	0.521405213560314	7.17014891904455e-10
D7	OTU_3273	0.625	0.125	1	195	1.25933899634915e-22	0.537816469418554	1.78474124368222e-10
D7	OTU_3274	0.225	0.075	1	117	1.00860452443215e-09	0.537816469418554	1.78474124368222e-10
D7	OTU_3275	0.194871794871795	0.1	2	76	0.000356494139413325	0.539605341381721	1.52971968425675e-10
D7	OTU_3276	0.625	0.125	1	195	1.25933899634915e-22	0.537816469418554	1.78474124368222e-10
D7	OTU_3277	28.1538461538462	1	2	1098	6.70525620902591e-205	0.524743997314589	5.42217493126884e-10
D7	OTU_3278	1.225	0.175	1	273	6.89574634626611e-37	0.537816469418554	1.78474124368222e-10
